20210120_omnip10um_KX_M1_nosound_L,x,y,z,x microns,y microns,z microns,distance microns
CA1,179,268,275,3580,5360,5500,0.0
CA2,177,271,275,3540,5420,5500,72.11102550927978
CA3,175,274,275,3500,5480,5500,144.22205101855957
CA4,172,277,275,3440,5540,5500,229.07486476094527
CA5,169,279,276,3380,5580,5520,303.90801249642413
CM1,323,131,272,6460,2620,5440,0.0
CM2,304,132,272,6080,2640,5440,380.52595180880894
CN1,179,297,312,3580,5940,6240,0.0
CN2,180,320,312,3600,6400,6240,460.43457732885355
SM1,159,293,296,3180,5860,5920,0.0
SM2,170,301,295,3400,6020,5900,272.7636339397171
SM3,180,305,298,3600,6100,5960,496.3704316896961
SM4,189,310,315,3780,6200,6300,893.862569976732
SM5,181,312,323,3620,6240,6460,1123.645075838253
SM6,168,322,315,3360,6440,6300,1488.6108276561463
SM7,181,334,310,3620,6680,6200,1856.306353873151
SM8,186,337,315,3720,6740,6300,2009.9292688305231
ST1,159,289,285,3180,5780,5700,0.0
ST2,170,293,286,3400,5860,5720,234.9468024894146
ST3,180,297,285,3600,5940,5700,451.27987901725396
ST4,197,301,315,3940,6020,6300,1145.542077325645
ST5,181,306,332,3620,6120,6640,1623.035532778178
ST6,160,311,315,3200,6220,6300,2172.5807993395415
ST7,181,328,301,3620,6560,6020,2781.185761527659
ST8,194,331,315,3880,6620,6300,3167.967353643933
SV1,159,316,285,3180,6320,5700,0.0
SV2,170,318,285,3400,6360,5700,223.60679774997897
SV3,180,319,285,3600,6380,5700,424.60431017239677
SV4,204,317,315,4080,6340,6300,1194.0196726392505
SV5,181,322,335,3620,6440,6700,1811.7574810984706
SV6,157,332,315,3140,6640,6300,2467.8062597727394
SV7,181,342,298,3620,6840,5960,3089.095242453102
SV8,198,344,315,3960,6880,6300,3571.588765725695
