20210120_omnip10um_KX_M1_nosound_R,x,y,z,x microns,y microns,z microns,distance microns
CA1,435,257,293,8700,5140,5860,0.0
CA2,438,260,293,8760,5200,5860,84.8528137423857
CA3,441,263,293,8820,5260,5860,169.7056274847714
CA4,444,266,293,8880,5320,5860,254.55844122715712
CA5,447,268,293,8940,5360,5860,326.6694667364369
CM1,322,131,271,6440,2620,5420,0.0
CM2,303,133,271,6060,2660,5420,382.099463490856
CN1,434,289,331,8680,5780,6620,0.0
CN2,432,310,331,8640,6200,6620,421.90046219457975
SM1,452,281,317,9040,5620,6340,0.0
SM2,441,291,314,8820,5820,6280,303.31501776206204
SM3,432,295,317,8640,5900,6340,509.22762058180206
SM4,423,301,332,8460,6020,6640,879.0924607599406
SM5,432,304,341,8640,6080,6820,1140.626397372381
SM6,442,313,332,8840,6260,6640,1464.354678497154
SM7,432,323,327,8640,6460,6540,1764.354678497154
SM8,424,325,332,8480,6500,6640,1957.2276937170132
ST1,452,279,304,9040,5580,6080,0.0
ST2,441,283,304,8820,5660,6080,234.0939982143925
ST3,432,287,305,8640,5740,6100,432.0838969466258
ST4,412,294,332,8240,5880,6640,1118.5239890158464
ST5,432,296,351,8640,5920,7020,1671.6966564534196
ST6,452,302,332,9040,6040,6640,2236.3204249931437
ST7,432,316,318,8640,6320,6360,2799.170316171955
ST8,415,322,332,8300,6440,6640,3255.678804592488
SV1,452,305,304,9040,6100,6080,0.0
SV2,441,306,304,8820,6120,6080,220.90722034374522
SV3,432,308,305,8640,6160,6100,406.37959025365933
SV4,407,310,332,8140,6200,6640,1143.4006211611904
SV5,432,312,354,8640,6240,7080,1810.6337138656816
SV6,454,321,332,9080,6420,6640,2458.3991034937476
SV7,432,330,316,8640,6600,6320,3031.461054769524
SV8,413,333,332,8260,6660,6640,3531.860894897396
