20210120_omnip10um_KX_M2_sound,x,y,z,x microns,y microns,z microns,distance microns
CA1,432,526,330,8640,10520,6600,0.0
CA2,430,529,330,8600,10580,6600,72.11102550927978
CA3,428,532,330,8560,10640,6600,144.22205101855957
CA4,426,535,330,8520,10700,6600,216.33307652783935
CA5,424,538,330,8480,10760,6600,288.44410203711914
CM1,560,403,305,11200,8060,6100,0.0
CM2,441,401,305,8820,8020,6100,2380.3361107205005
CN1,429,564,368,8580,11280,7360,0.0
CN2,431,588,370,8620,11760,7400,483.3218389437829
SM1,411,556,353,8220,11120,7060,0.0
SM2,421,565,351,8420,11300,7020,272.02941017470886
SM3,430,369,353,8600,7380,7060,4196.363748632634
SM4,439,575,371,8780,11500,7420,8335.977257162143
SM5,430,577,379,8600,11540,7580,8580.108369476817
SM6,419,588,371,8380,11760,7420,8929.965483167534
SM7,430,599,366,8600,11980,7320,9256.768175934898
SM8,438,601,371,8760,12020,7420,9449.641191154757
ST1,411,556,335,8220,11120,6700,0.0
ST2,421,559,335,8420,11180,6700,208.806130178211
ST3,430,562,335,8600,11240,6700,398.5427897883137
ST4,450,566,371,9000,11320,7420,1226.0692244114016
ST5,430,571,389,8600,11420,7780,1773.426511747562
ST6,410,576,371,8200,11520,7420,2320.7837990837224
ST7,430,592,355,8600,11840,7100,2924.7705539053823
ST8,451,596,371,9020,11920,7420,3458.81175081813
SV1,441,582,335,8820,11640,6700,0.0
SV2,421,583,335,8420,11660,6700,400.4996878900157
SV3,430,584,335,8600,11680,6700,581.607390652764
SV4,457,582,371,9140,11640,7420,1482.4958410171807
SV5,430,588,391,8600,11760,7820,2165.137767652221
SV6,408,596,371,8160,11920,7420,2780.929940385847
SV7,430,607,353,8600,12140,7060,3390.519966550974
SV8,450,608,371,9000,12160,7420,3929.036447264424
