20210120_omnip10um_KX_M2_sound,x,y,z,x microns,y microns,z microns,distance microns
CA1,696,527,338,13920,10540,6760,0.0
CA2,698,530,337,13960,10600,6740,74.83314773547883
CA3,700,533,337,14000,10660,6740,146.94417324475862
CA4,702,536,338,14040,10720,6760,221.77732098023745
CA5,705,538,338,14100,10760,6760,293.88834648951723
CM1,561,402,305,11220,8040,6100,0.0
CM2,441,401,305,8820,8020,6100,2400.0833318866244
CN1,693,560,373,13860,11200,7460,0.0
CN2,691,583,375,13820,11660,7500,463.4652090502587
SM1,714,553,361,14280,11060,7220,0.0
SM2,704,562,357,14080,11240,7140,280.713376952364
SM3,693,566,360,13860,11320,7200,522.3742964242555
SM4,682,572,376,13640,11440,7520,928.822325082287
SM5,693,575,385,13860,11500,7700,1219.339106008966
SM6,702,586,376,14040,11720,7520,1555.7911828341803
SM7,693,594,372,13860,11880,7440,1809.5627336431708
SM8,687,597,376,13740,11940,7520,1965.7677271613038
ST1,714,553,344,14280,11060,6880,0.0
ST2,740,557,344,14800,11140,6880,526.1178575186362
ST3,693,559,344,13860,11180,6880,1466.9685364257623
ST4,673,564,376,13460,11280,7520,2228.2831888527335
ST5,693,567,395,13860,11340,7900,2783.260665873198
ST6,711,573,375,14220,11460,7500,3334.622615956807
ST7,693,589,362,13860,11780,7240,3881.9799032929673
ST8,674,593,376,13480,11860,7520,4360.7282714364
SV1,714,581,344,14280,11620,6880,0.0
SV2,704,582,344,14080,11640,6880,200.9975124224178
SV3,693,583,344,13860,11660,6880,421.904732766163
SV4,667,580,376,13340,11600,7520,1248.7057971099384
SV5,693,585,397,13860,11700,7940,1924.5756070585703
SV6,714,594,376,14280,11880,7520,2545.2204330258865
SV7,693,604,363,13860,12080,7260,3078.1369368048554
SV8,676,607,376,13520,12140,7520,3510.3405925043417
