20210120_OMNIP10UM_M3_SOUND_L,x,y,z,x microns,y microns,z microns,distance microns
CA1,308,331,283,6160,6620,5660,0.0
CA2,305,334,282,6100,6680,5640,87.17797887081348
CA3,302,338,282,6040,6760,5640,187.1779788708135
CA4,299,341,282,5980,6820,5640,272.0307926131992
CA5,296,343,282,5920,6860,5640,344.141818122479
CM1,442,184,292,8840,3680,5840,0.0
CM2,420,182,292,8400,3640,5840,441.81444068749045
CN1,306,368,315,6120,7360,6300,0.0
CN2,309,394,314,6180,7880,6280,523.8320341483518
SM1,289,361,302,5780,7220,6040,0.0
SM2,298,368,299,5960,7360,5980,235.79652245103193
SM3,308,373,301,6160,7460,6020,462.9528562830429
SM4,319,380,314,6380,7600,6280,831.1919090734823
SM5,307,386,325,6140,7720,6500,1178.1789405314316
SM6,298,395,314,5960,7900,6280,1514.631017356646
SM7,307,403,307,6140,8060,6140,1793.1987829003283
SM8,316,407,315,6320,8140,6300,2046.9703337093188
ST1,290,358,289,5800,7160,5780,0.0
ST2,298,360,289,5960,7200,5780,164.92422502470643
ST3,308,363,289,6160,7260,5780,373.7303552029174
ST4,327,370,314,6540,7400,6280,1017.1586728887339
ST5,307,378,335,6140,7560,6700,1618.8230311483867
ST6,290,385,314,5800,7700,6280,2177.034460626501
ST7,307,396,299,6140,7920,5980,2681.0185873606674
ST8,326,402,314,6520,8040,6280,3179.8171438942645
SV1,289,383,289,5780,7660,5780,0.0
SV2,298,384,289,5960,7680,5780,181.10770276274835
SV3,308,385,289,6160,7700,5780,382.1052151851661
SV4,332,388,314,6640,7760,6280,1077.8063004222095
SV5,307,397,335,6140,7940,6700,1755.1540692972535
SV6,287,405,314,5740,8100,6280,2356.8184275569065
SV7,307,410,295,6140,8200,5900,2917.532258311954
SV8,328,415,314,6560,8300,6280,3492.6844120938904
