20210120_OMNIP10UM_M4_NOSOUND_R,x,y,z,x microns,y microns,z microns,distance microns
CA1,336,422,368,6720,8440,7360,0.0
CA2,334,425,368,6680,8500,7360,72.11102550927978
CA3,331,428,368,6620,8560,7360,156.9638392516655
CA4,328,431,368,6560,8620,7360,241.8166529940512
CA5,325,434,368,6500,8680,7360,326.6694667364369
CM1,464,288,374,9280,5760,7480,0.0
CM2,448,288,374,8960,5760,7480,320.0
CN1,335,451,406,6700,9020,8120,0.0
CN2,340,479,406,6800,9580,8120,568.8585061331157
SM1,317,448,391,6340,8960,7820,0.0
SM2,327,456,388,6540,9120,7760,263.0589287593181
SM3,339,461,390,6780,9220,7800,526.1178575186362
SM4,348,467,406,6960,9340,8120,912.3820158351955
SM5,339,471,416,6780,9420,8320,1193.0953927875594
SM6,329,482,406,6580,9640,8120,1551.4248501309378
SM7,339,490,400,6780,9800,8000,1834.2675626055568
SM8,347,493,406,6940,9860,8120,2043.073692783768
ST1,316,448,375,6320,8960,7500,0.0
ST2,327,450,375,6540,9000,7500,223.60679774997897
ST3,339,454,375,6780,9080,7500,476.5890105634493
ST4,356,457,406,7120,9140,8120,1186.236810531856
ST5,339,463,426,6780,9260,8520,1724.7532912453064
ST6,318,470,406,6360,9400,8120,2321.4106468523582
ST7,339,498,389,6780,9960,7780,3099.613705186107
ST8,357,489,406,7140,9780,8120,3626.4913000788865
SV1,317,472,375,6340,9440,7500,0.0
SV2,327,474,375,6540,9480,7500,203.9607805437114
SV3,339,475,375,6780,9500,7500,444.7926721195573
SV4,363,474,406,7260,9480,8120,1229.1395341646603
SV5,339,481,428,6780,9620,8560,1895.1725663785287
SV6,318,490,406,6360,9800,8120,2529.522627464677
SV7,339,485,391,6780,9700,7820,3055.2602045884737
SV8,358,500,406,7160,10000,8120,3624.8214392243995
