20210120_OMNIP10UM_M4_NOSOUND_R,x,y,z,x microns,y microns,z microns,distance microns
CA1,601,401,386,12020,8020,7720,0.0
CA2,603,404,386,12060,8080,7720,72.11102550927978
CA3,606,407,386,12120,8140,7720,156.9638392516655
CA4,609,411,386,12180,8220,7720,256.9638392516655
CA5,613,414,386,12260,8280,7720,356.9638392516655
CM1,463,288,372,9260,5760,7440,0.0
CM2,451,288,372,9020,5760,7440,240.0
CN1,602,435,426,12040,8700,8520,0.0
CN2,602,460,426,12040,9200,8520,500.0
SM1,619,428,413,12380,8560,8260,0.0
SM2,609,439,408,12180,8780,8160,313.6877428271624
SM3,600,444,411,12000,8880,8220,528.1638487224345
SM4,591,450,427,11820,9000,8540,914.4280070389939
SM5,600,453,435,12000,9060,8700,1162.621479958811
SM6,612,462,427,12240,9240,8540,1502.621479958811
SM7,600,474,422,12000,9480,8440,1856.4576002178937
SM8,595,475,427,11900,9500,8540,1999.2861687887507
ST1,619,428,400,12380,8560,8000,0.0
ST2,609,432,400,12180,8640,8000,215.40659228538016
ST3,600,435,400,12000,8700,8000,405.1432518954829
ST4,581,443,427,11620,8860,8540,1084.5547619540039
ST5,600,445,446,12000,8900,8920,1623.442505366303
ST6,620,451,427,12400,9020,8540,2188.066273906027
ST7,600,468,412,12000,9360,8240,2792.7149322192663
ST8,582,472,427,11640,9440,8540,3268.1095051794546
SV1,619,454,400,12380,9080,8000,0.0
SV2,609,456,400,12180,9120,8000,203.9607805437114
SV3,600,457,400,12000,9140,8000,385.0684833064597
SV4,578,460,427,11560,9200,8540,1084.2108150244012
SV5,600,463,447,12000,9260,8940,1681.8729269237585
SV6,623,470,427,12460,9400,8540,2307.332757768234
SV7,600,481,410,12000,9620,8200,2920.1948956100164
SV8,585,484,427,11700,9680,8540,3377.578760651187
