Unnamed: 0,x,y,z,x microns,y microns,z microns,distance microns
CA1,154,191,92,3080,3820,1840,0.0
CA2,151,194,92,3020,3880,1840,84.8528137423857
CA3,149,197,92,2980,3940,1840,156.9638392516655
CA4,147,200,92,2940,4000,1840,229.07486476094527
CA5,144,202,92,2880,4040,1840,301.18589027022506
CM1,289,64,104,5780,1280,2080,0.0
CM2,269,65,104,5380,1300,2080,400.4996878900157
CN1,157,222,127,3140,4440,2540,0.0
CN2,157,257,127,3140,5140,2540,700.0
SM1,139,219,115,2780,4380,2300,0.0
SM2,148,227,111,2960,4540,2220,253.7715508089904
SM3,157,231,113,3140,4620,2260,454.7690632314082
SM4,167,235,127,3340,4700,2540,808.039497884522
SM5,157,240,137,3140,4800,2740,1108.039497884522
SM6,149,253,127,2980,5060,2540,1473.0052497024153
SM7,157,260,125,3140,5200,2500,1689.3383262302546
SM8,166,262,127,3320,5240,2540,1878.0179488713866
ST1,139,216,98,2780,4320,1960,0.0
ST2,148,219,98,2960,4380,1960,189.73665961010275
ST3,157,223,98,3140,4460,1960,386.71381564602484
ST4,177,227,127,3540,4540,2540,1095.7977316954584
ST5,157,232,146,3140,4640,2920,1656.5115624505058
ST6,139,241,127,2780,4820,2540,2210.0456625744278
ST7,157,254,114,3140,5080,2280,2724.632875785172
ST8,178,260,127,3560,5200,2540,3232.9634768707256
SV1,139,243,98,2780,4860,1960,0.0
SV2,148,244,98,2960,4880,1960,181.10770276274835
SV3,157,245,98,3140,4900,1960,362.2154055254967
SV4,183,245,127,3660,4900,2540,1141.1890892915146
SV5,157,250,149,3140,5000,2980,1829.6656684138547
SV6,136,260,127,2720,5200,2540,2469.9780921571396
SV7,157,269,112,3140,5380,2240,3016.6041069057974
SV8,175,270,127,3500,5400,2540,3485.6456828881405
