Unnamed: 0,x,y,z,x microns,y microns,z microns,distance microns
CA1,412,184,100,8240,3680,2000,0.0
CA2,415,187,100,8300,3740,2000,84.8528137423857
CA3,417,190,100,8340,3800,2000,156.9638392516655
CA4,420,193,100,8400,3860,2000,241.8166529940512
CA5,423,195,100,8460,3900,2000,313.927678503331
CM1,289,64,104,5780,1280,2080,0.0
CM2,269,65,104,5380,1300,2080,400.4996878900157
CN1,410,214,137,8200,4280,2740,0.0
CN2,410,236,137,8200,4720,2740,440.0
SM1,428,210,123,8560,4200,2460,0.0
SM2,420,218,120,8400,4360,2400,234.0939982143925
SM3,410,223,122,8200,4460,2440,461.25033204640346
SM4,400,228,137,8000,4560,2740,835.4160707237976
SM5,410,232,147,8200,4640,2940,1129.354839857779
SM6,421,242,137,8420,4840,2740,1487.6842972011575
SM7,410,252,133,8200,5040,2660,1795.5803835679706
SM8,405,254,137,8100,5080,2740,1929.744462217958
ST1,428,209,108,8560,4180,2160,0.0
ST2,420,212,108,8400,4240,2160,170.88007490635061
ST3,410,214,108,8200,4280,2160,374.840855450062
ST4,390,221,137,7800,4420,2740,1093.1722552927808
ST5,410,225,157,8200,4500,3140,1664.4865295762088
ST6,431,233,137,8620,4660,2740,2266.150887835862
ST7,410,247,122,8200,4940,2440,2853.34761807199
ST8,395,259,137,7900,5180,2740,3340.7899223501477
SV1,428,237,108,8560,4740,2160,0.0
SV2,420,239,108,8400,4780,2160,164.92422502470643
SV3,410,240,108,8200,4800,2160,365.9217374471242
SV4,385,238,137,7700,4760,2740,1132.7333179543566
SV5,410,243,160,8200,4860,3200,1819.4647064899323
SV6,433,252,137,8660,5040,2740,2494.4461877173803
SV7,410,261,124,8200,5220,2480,3052.657617195495
SV8,396,264,137,7920,5280,2740,3439.439209311769
