,Unnamed: 0,x,y,z,x microns,y microns,z microns,distance microns
0,CA 1,163,177,90,3260,3540,1800,0.0
1,CA 2,162,178,90,3240,3560,1800,28.284271247461902
2,CA 3,161,179,90,3220,3580,1800,56.568542494923804
3,CA 4,160,180,90,3200,3600,1800,84.8528137423857
4,CA 5,159,181,90,3180,3620,1800,113.13708498984761
5,CA 6,158,182,90,3160,3640,1800,141.4213562373095
6,CA 7,157,183,90,3140,3660,1800,169.7056274847714
7,CA 8,157,184,90,3140,3680,1800,189.7056274847714
8,CA 9,156,185,90,3120,3700,1800,217.9898987322333
9,CA 10,156,186,90,3120,3720,1800,237.9898987322333
10,CA 11,155,187,90,3100,3740,1800,266.2741699796952
11,CA 12,154,188,90,3080,3760,1800,294.5584412271571
12,CA 13,153,189,90,3060,3780,1800,322.842712474619
13,CA 14,152,190,90,3040,3800,1800,351.1269837220809
14,CA 15,151,191,90,3020,3820,1800,379.4112549695428
15,CA 16,150,192,90,3000,3840,1800,407.6955262170047
16,CA 17,149,193,90,2980,3860,1800,435.9797974644666
17,CA 18,148,194,90,2960,3880,1800,464.26406871192853
18,CA 19,147,195,90,2940,3900,1800,492.54833995939043
