,Unnamed: 0,x,y,z,x microns,y microns,z microns,distance microns
0,CA 1,409,164,81,8180,3280,1620,0.0
1,CA 2,410,165,81,8200,3300,1620,28.284271247461902
2,CA 3,410,166,81,8200,3320,1620,48.2842712474619
3,CA 4,411,167,81,8220,3340,1620,76.5685424949238
4,CA 5,412,168,81,8240,3360,1620,104.8528137423857
5,CA 6,412,169,81,8240,3380,1620,124.8528137423857
6,CA 7,413,170,81,8260,3400,1620,153.1370849898476
7,CA 8,414,171,81,8280,3420,1620,181.4213562373095
8,CA 9,414,172,81,8280,3440,1620,201.4213562373095
9,CA 10,415,173,81,8300,3460,1620,229.7056274847714
10,CA 11,415,174,81,8300,3480,1620,249.7056274847714
11,CA 12,416,175,81,8320,3500,1620,277.9898987322333
12,CA 13,417,176,81,8340,3520,1620,306.2741699796952
13,CA 14,418,177,81,8360,3540,1620,334.5584412271571
14,CA 15,418,178,81,8360,3560,1620,354.5584412271571
15,CA 16,419,179,81,8380,3580,1620,382.842712474619
16,CA 17,420,180,81,8400,3600,1620,411.1269837220809
17,CA 18,421,181,81,8420,3620,1620,439.4112549695428
18,CA 19,422,182,81,8440,3640,1620,467.6955262170047
