time (min.),CM mean,Outside cochlear aqueduct mean,Cochlear aqueduct mean,Cochlea mean,CM stdev,Outside cochlear aqueduct stdev,Cochlear aqueduct stdev,Cochlea stdev
-2.5,0.294336,0.151026,0.080326,0.218959,0.0564086,0.0601473,0.0492154,0.0516573
-1.5,4.333,5.7867,11.928,5.62051,2.59464,2.92278,7.05304,3.02225
-0.5,4.64017,6.54677,7.42472,5.17141,2.77021,4.28144,3.27864,3.32264
0.5,5.73327,7.00835,8.78,5.8021,2.99154,3.52613,4.92994,3.16289
1.5,7.38362,9.15163,17.021,8.68269,5.05557,5.94594,15.3004,5.74382
2.5,131.002,7.92536,7.02634,9.97965,159.889,3.96769,5.26368,6.70975
3.5,318.037,8.00691,11.264,9.62644,272.577,5.42531,7.70486,6.16657
4.5,540.049,84.2387,68.7715,9.29397,299.557,59.8948,53.4249,6.08815
5.5,568.285,316.102,264.087,11.6665,265.16,72.9624,87.1919,17.8576
6.5,609.842,430.991,322.407,18.7463,285.241,117.714,96.5736,34.9156
7.5,632.049,418.504,373.041,35.6318,270.82,135.476,96.2973,62.1522
8.5,629.049,390.089,297.337,40.0736,281.226,130.935,80.7271,78.7316
9.5,650.701,327.792,241.614,49.0602,307.425,128.264,87.1837,96.1825
10.5,674.164,316.565,242.395,57.0213,339.521,121.67,85.3561,108.793
11.5,659.641,328.722,255.034,67.0621,337.356,121.537,87.9181,120.874
12.5,650.864,344.628,248.683,75.657,322.739,125.05,95.1043,129.789
13.5,653.612,337.852,285.459,83.3844,320.833,113.77,80.6037,138.69
14.5,698.9,327.251,296.907,91.1679,304.056,109.875,75.5639,146.221
15.5,725.436,322.794,287.971,95.9306,290.777,107.149,72.546,149.152
16.5,728.775,342.54,290.638,104.659,285.779,111.336,83.4159,156.634
17.5,742.618,355.095,295.575,106.485,310.156,115.829,83.0479,156.916
18.5,761.274,379.399,296.411,110.238,309.871,114.545,84.2299,157.332
19.5,772.861,399.012,307.73,120.438,308.876,121.505,83.9266,162.156
20.5,762.818,414.999,322.915,125.33,298.028,115.841,98.0689,169.204
