time (min.),CM mean,Outside cochlear aqueduct mean,Cochlear aqueduct mean,Cochlea mean,CM stdev,Outside cochlear aqueduct stdev,Cochlear aqueduct stdev,Cochlea stdev
-2.5,0.24949,0.176394,0.0507165,0.20278,0.0410024,0.0721714,0.0125498,0.051577
-1.5,3.87064,6.30084,9.5685,5.89411,1.9572,4.12919,3.32815,2.97869
-0.5,3.94066,5.27484,13.9233,5.20432,2.23311,2.46577,3.98926,2.59173
0.5,3.25793,5.60216,6.48667,4.92295,1.55822,3.45815,2.42381,2.86586
1.5,7.36171,9.0145,14.6626,8.83468,4.47413,4.82766,4.45085,5.47374
2.5,21.0437,14.1158,15.2105,8.8231,26.1307,6.18122,4.49427,5.05115
3.5,63.8082,135.232,170.089,14.3828,63.0544,74.3702,47.7992,12.6789
4.5,108.665,101.052,165.21,17.3432,85.7971,64.4445,49.2171,26.8522
5.5,168.37,173.701,173.453,29.0183,136.032,64.5665,62.5718,49.8949
6.5,179.873,208.957,190.205,34.7497,138.302,66.55,57.5472,66.7486
7.5,197.979,227.68,196.55,46.2799,154.904,68.1427,62.0635,84.596
8.5,207.494,224.556,189.307,55.6124,157.055,68.2299,47.264,95.4097
9.5,214.988,196.675,202.63,63.9318,162.232,60.903,51.492,107.795
10.5,217.5,204.822,177.095,68.3006,158.261,60.1847,51.2819,111.242
11.5,222.186,191.906,183.649,76.7716,162.935,58.7449,47.5779,121.593
12.5,227.373,179.483,167.486,81.2872,160.929,59.8707,46.6948,122.732
13.5,238.755,192.01,183.412,90.8139,170.779,57.6874,47.0199,131.497
14.5,276.7,287.559,197.756,95.8732,165.82,92.6615,45.7548,134.953
15.5,331.56,278.532,222.246,98.517,179.659,83.5515,59.3091,139.321
16.5,348.422,295.974,239.957,104.635,184.489,83.2903,57.4928,144.662
17.5,380.9,316.359,233.286,108.459,189.463,86.1964,59.6577,143.817
18.5,392.162,323.607,239.416,115.204,188.53,82.8871,65.2628,147.831
19.5,388.721,328.127,245.158,117.188,182.761,84.4883,67.0651,144.297
20.5,394.305,338.347,231.673,120.231,179.151,82.2625,65.8602,147.4
21.5,400.063,346.492,234.563,122.603,176.861,81.4363,66.6211,145.489
22.5,406.837,345.674,231.084,123.074,166.223,81.5243,74.8838,142.071
23.5,406.091,350.312,252.863,131.342,162.537,75.8503,69.7578,146.179
24.5,397.582,357.813,230.431,133.699,161.164,75.3515,71.0636,145.487
25.5,391.894,366.248,242.562,134.792,160.257,73.6569,71.8819,142.393
26.5,384.134,364.036,221.959,136.804,157.039,71.6194,72.1482,143.962
27.5,377.347,360.634,232.946,138.17,159.348,70.8822,74.3635,142.072
28.5,364.775,356.351,221.939,138.209,155.209,69.9887,71.1844,138.422
29.5,359.742,356.599,233.625,143.252,153.394,70.7113,73.2509,139.059
30.5,351.932,355.825,246.513,147.861,152.108,69.9431,71.4371,141.151
