time (min.),CM mean,Outside cochlear aqueduct mean,Cochlear aqueduct mean,Cochlea mean,CM stdev,Outside cochlear aqueduct stdev,Cochlear aqueduct stdev,Cochlea stdev
-2.0,0.294336,0.121183,0.054426,0.198409,0.0564086,0.0373969,0.0194492,0.0366954
-1.0,4.333,7.78336,15.549,6.69383,2.59464,4.01606,5.43862,3.31754
0.0,4.64017,4.88028,7.85982,4.80934,2.77021,4.1903,4.22677,2.70168
1.0,5.73327,5.66877,7.72578,5.05282,2.99154,2.69649,3.4612,2.88341
2.0,7.38362,9.48976,12.9941,7.66761,5.05557,5.53873,5.8923,4.64187
3.0,131.002,10.5212,13.0306,7.8827,159.889,4.65126,6.21304,4.72649
4.0,318.037,17.0163,13.2216,7.47973,272.577,5.62826,4.76519,4.31357
5.0,540.049,197.186,49.2142,7.87905,299.557,56.7477,19.8227,5.14878
6.0,568.285,339.395,139.161,10.8244,265.16,76.2321,51.3714,10.7717
7.0,609.842,395.127,218.007,16.9838,285.241,81.9287,86.433,24.4523
8.0,632.049,378.963,232.192,24.7221,270.82,77.8364,86.255,38.5323
9.0,629.049,363.152,216.46,28.4649,281.226,64.8315,72.2517,48.3807
10.0,650.701,382.625,223.199,32.1351,307.425,74.0357,84.175,53.3597
11.0,674.164,369.105,256.982,38.5098,339.521,73.2819,89.3258,61.3703
12.0,659.641,352.903,273.209,47.2675,337.356,85.7331,91.2282,76.0461
13.0,650.864,335.61,288.754,53.5328,322.739,81.9345,103.247,83.1099
14.0,653.612,299.842,285.399,58.6418,320.833,78.6683,101.355,92.096
15.0,698.9,271.119,292.966,65.8233,304.056,88.1559,103.346,98.0424
16.0,725.436,234.554,286.39,71.026,290.777,85.5035,97.3187,103.917
17.0,728.775,216.548,246.335,79.1248,285.779,85.4262,91.5929,113.572
18.0,742.618,221.815,237.505,88.856,310.156,72.4505,82.0853,120.451
19.0,761.274,246.959,234.434,91.7886,309.871,76.5227,86.6871,123.073
20.0,772.861,254.517,244.658,100.265,308.876,78.1451,91.0707,130.432
21.0,762.818,283.51,261.498,112.278,298.028,86.9153,90.9638,139.272
22.0,779.494,289.247,254.492,116.164,302.01,96.2718,97.1166,138.859
23.0,787.318,302.536,263.172,124.141,305.557,95.9644,91.0537,142.473
24.0,799.915,304.312,251.21,129.386,309.579,102.608,88.6788,144.793
25.0,808.131,311.84,262.343,137.389,304.751,94.1711,87.7697,146.669
26.0,818.305,314.13,271.219,142.135,303.191,87.3888,96.7308,148.149
27.0,823.648,322.62,269.297,150.639,300.298,94.1591,86.4378,150.058
28.0,818.161,342.352,278.286,157.72,296.928,92.2126,90.8693,149.716
29.0,819.112,351.338,285.854,163.819,293.709,96.0678,90.1934,153.584
30.0,810.611,376.807,291.642,168.197,289.822,97.7793,92.4302,152.931
31.0,801.133,397.911,294.745,174.642,289.552,99.2438,90.5048,152.887
32.0,786.705,409.716,289.907,176.395,282.64,98.5265,86.2125,152.102
33.0,775.562,419.587,296.719,185.577,278.753,102.57,88.2562,155.284
34.0,759.614,419.583,288.124,188.708,278.498,96.3867,82.7317,154.445
35.0,752.236,438.198,293.076,189.721,275.162,101.916,88.9473,153.102
36.0,739.554,442.505,286.857,194.48,269.746,95.96,82.7055,154.638
37.0,728.622,458.468,275.882,197.188,266.547,99.2174,74.6585,150.636
38.0,713.411,447.524,285.752,200.617,259.991,86.8408,77.275,152.77
39.0,697.783,463.519,286.853,202.54,255.505,94.7114,80.8968,151.049
40.0,688.346,451.98,285.756,204.23,250.652,89.4164,77.8913,150.038
41.0,675.073,462.219,279.862,205.004,245.91,90.5921,79.8263,148.662
42.0,664.042,449.898,294.806,209.403,240.624,83.5093,81.1923,150.284
43.0,655.854,437.736,274.33,210.923,237.269,80.9592,75.3233,149.474
44.0,647.696,454.378,286.471,212.942,233.729,81.3286,75.8263,147.537
45.0,641.959,459.389,280.378,216.643,231.285,77.8953,74.4174,147.975
46.0,629.825,459.011,275.48,217.074,225.533,81.3694,73.1064,148.023
47.0,626.185,465.861,270.626,220.425,224.904,77.2044,72.0986,148.83
48.0,612.709,457.619,286.56,218.772,217.672,80.4598,80.8818,146.45
49.0,609.555,453.006,279.013,221.027,217.863,80.1669,77.1242,147.006
50.0,598.456,448.595,278.628,225.178,209.893,76.2581,75.8959,147.267
51.0,591.267,453.482,281.475,223.143,205.802,81.2107,83.5188,144.731
52.0,579.468,450.352,276.333,225.567,202.824,81.309,80.0087,146.079
53.0,573.312,459.222,292.105,227.558,199.615,85.091,86.1499,146.171
54.0,566.546,447.699,288.754,226.315,198.746,81.3348,82.7867,145.686
55.0,560.31,461.99,281.126,229.659,196.085,85.9208,77.9457,145.753
56.0,555.764,456.616,283.104,230.461,193.404,81.625,77.4751,145.275
57.0,545.106,444.068,272.795,236.255,186.383,81.0811,78.405,150.237
58.0,538.752,450.983,280.496,232.455,184.075,83.2064,83.3468,147.759
59.0,532.635,462.111,284.875,236.786,179.156,84.176,75.899,147.552
60.0,526.561,448.13,274.614,234.789,177.434,84.5143,76.0695,148.324
61.0,524.699,453.281,287.86,236.475,174.62,82.5644,81.9171,147.479
62.0,516.221,465.952,267.794,236.219,173.682,84.769,76.9498,145.824
63.0,515.88,459.32,275.341,234.389,175.304,82.0407,82.5711,144.022
64.0,507.136,460.359,288.453,235.738,169.682,84.1272,81.8611,145.153
65.0,509.138,465.652,268.111,235.308,169.71,85.5565,73.6066,142.979
66.0,504.077,452.996,260.044,237.251,166.431,79.565,72.8803,146.244
67.0,497.885,432.425,268.696,243.996,162.732,79.34,80.836,151.839
68.0,496.611,428.957,250.47,242.04,164.881,72.72,74.0427,144.245
69.0,500.027,406.578,249.739,239.046,166.823,69.8058,73.1107,145.382
70.0,505.524,402.489,260.629,242.399,168.952,64.5263,72.6169,146.104
71.0,503.815,384.73,238.244,242.069,167.827,60.8089,67.4391,145.945
72.0,513.237,373.932,236.912,242.225,173.379,61.5006,71.5729,145.996
73.0,517.128,382.649,235.535,239.282,176.6,58.7461,70.1694,142.543
74.0,523.18,373.956,230.441,237.191,179.694,56.623,68.1529,138.036
75.0,528.198,369.85,233.544,238.654,183.2,59.1311,73.2522,141.718
76.0,530.501,374.153,216.74,239.559,182.922,56.2098,61.6065,141.196
77.0,527.998,370.376,223.8,237.579,180.819,58.5194,69.614,140.548
78.0,529.286,372.478,224.612,236.845,182.01,55.7248,65.1094,139.063
79.0,525.614,374.706,210.249,237.347,178.737,57.5394,62.0141,137.181
80.0,521.193,366.616,227.033,236.498,176.703,58.6248,74.883,138.575
81.0,519.598,375.222,224.096,235.897,177.372,59.1501,71.613,135.46
82.0,518.373,365.907,217.78,237.269,174.475,57.8942,62.5947,138.085
83.0,513.839,367.108,215.168,236.632,172.181,55.7177,63.4656,135.883
84.0,510.447,367.998,225.563,238.229,171.401,54.9396,69.9257,136.194
85.0,507.052,382.044,218.694,236.035,170.941,57.3621,64.5988,134.466
86.0,503.419,356.718,225.705,237.952,166.705,54.0792,63.602,136.885
87.0,502.261,371.839,224.202,237.3,166.28,55.1469,64.511,135.035
88.0,497.75,366.752,222.459,234.647,166.029,55.1655,65.4359,131.822
89.0,500.488,362.327,218.3,235.719,165.44,56.5316,66.2017,132.869
90.0,496.58,360.408,207.723,237.245,163.211,52.7127,62.3147,134.838
91.0,497.081,358.49,211.386,235.512,164.336,52.9335,64.2941,134.049
