time (min.),CM mean,Outside cochlear aqueduct mean,Cochlear aqueduct mean,Cochlea mean,CM stdev,Outside cochlear aqueduct stdev,Cochlear aqueduct stdev,Cochlea stdev
-2.0,0.314504,0.223906,0.0851494,0.330262,0.0827453,0.0776017,0.0350168,0.125899
-1.0,2.53,3.48978,5.40968,2.28381,2.45354,2.67416,3.0898,2.34933
0.0,1.88996,1.41241,2.12454,2.08857,2.08131,1.56368,1.41308,2.26566
1.0,1.24998,1.39957,1.91234,2.57617,1.71206,1.86734,2.13007,3.07282
2.0,28.5241,2.00178,11.8402,2.6446,32.5167,3.22816,6.71103,3.26557
3.0,138.491,85.433,154.663,3.03585,101.712,53.0153,95.5241,4.9141
4.0,152.501,206.121,312.064,4.94911,143.234,102.548,116.234,8.51106
5.0,122.353,30.5939,223.501,9.86003,91.5833,32.4313,91.7188,27.2206
6.0,121.542,20.8048,152.025,19.943,82.3774,19.1426,66.5611,56.9871
7.0,122.884,16.3517,139.499,31.4323,79.1891,15.0698,62.0005,88.4557
8.0,127.8,20.8211,159.67,43.1012,82.382,19.2854,65.4582,111.177
9.0,137.473,15.1626,146.992,55.1771,88.0271,15.5111,63.6491,126.241
10.0,144.462,17.3817,126.114,62.6424,90.594,15.0744,53.9516,133.935
11.0,149.937,18.1672,116.034,72.5991,93.9967,15.904,58.7001,142.991
12.0,157.28,17.8125,121.859,78.8465,96.5649,13.7737,58.6824,150.294
13.0,162.366,21.1146,119.009,87.1318,98.7215,15.8789,57.7802,157.341
14.0,169.393,35.1859,138.209,94.664,98.7386,18.3767,57.3272,162.711
15.0,186.357,71.5035,224.043,102.763,110.34,25.4946,65.0553,166.6
16.0,211.392,142.212,265.62,109.197,119.875,51.6965,72.2578,168.504
17.0,241.144,185.416,311.806,113.079,126.885,59.5967,75.7469,168.589
18.0,267.847,226.586,350.51,119.491,138.469,73.2184,79.2208,168.859
19.0,288.32,247.043,333.021,125.203,138.277,80.1538,77.1617,167.601
20.0,323.385,264.196,331.811,128.634,142.149,82.9883,79.6813,166.282
21.0,343.532,277.418,326.974,135.548,143.815,87.8576,80.7996,165.28
22.0,352.774,288.653,316.814,139.157,145.537,93.2783,74.0379,163.419
23.0,354.611,304.397,311.705,144.152,146.794,98.9398,77.4981,162.782
24.0,356.721,316.359,304.655,149.128,146.642,96.5596,79.5063,161.083
25.0,362.147,321.339,296.7,152.177,140.886,95.0248,80.4967,159.236
26.0,360.123,317.616,294.388,155.775,137.221,91.9639,74.1085,158.037
27.0,358.238,310.154,280.792,157.803,132.527,90.2832,73.6142,155.595
28.0,354.611,305.642,278.378,160.356,128.933,86.3619,68.2824,154.376
29.0,348.799,295.502,261.328,162.95,125.355,82.7342,69.2372,152.189
30.0,337.711,287.544,252.687,165.122,120.178,79.712,64.5059,150.587
31.0,329.735,274.494,253.221,167.287,116.415,75.13,62.2197,148.341
32.0,319.147,259.944,246.133,169.07,111.728,73.827,64.9976,147.408
33.0,312.225,259.513,240.268,171.518,107.336,71.2282,60.9142,145.738
34.0,303.432,244.737,231.88,171.761,102.842,70.5887,63.4752,143.371
35.0,297.583,235.099,226.375,172.725,99.5138,66.3137,60.213,141.549
36.0,286.313,231.585,223.199,175.385,96.4567,63.1904,57.4729,141.926
37.0,282.65,222.603,223.642,175.405,93.4853,60.0767,53.9443,138.554
38.0,273.154,212.281,209.605,176.731,92.9598,60.4343,52.5405,136.845
39.0,268.484,205.923,209.505,177.194,88.2975,56.2265,51.8509,136.585
40.0,264.495,199.94,200.771,176.917,88.1014,57.5878,48.251,135.176
41.0,258.244,198.413,201.339,178.193,86.4349,56.1946,47.6567,134.674
42.0,250.803,192.588,205.493,178.165,84.9003,55.3979,50.8926,132.96
43.0,249.3,186.915,196.938,180.348,83.3656,56.1914,47.3183,131.885
44.0,247.118,186.501,193.691,180.138,82.0997,52.2039,45.0241,129.455
45.0,242.141,182.156,195.86,181.453,80.4353,51.1295,43.9984,128.975
46.0,235.539,175.816,182.015,181.522,80.9152,51.0277,46.7076,129.005
47.0,233.799,178.958,188.635,184.143,78.6482,49.1092,50.7474,129.341
48.0,230.968,173.473,185.544,182.81,78.7682,50.5561,41.5947,127.812
49.0,229.194,170.513,184.566,183.354,77.3898,49.874,44.6875,125.83
50.0,223.919,159.559,177.561,182.203,77.774,49.9423,41.6522,125.178
51.0,221.355,163.298,179.989,183.9,77.3457,50.705,45.7595,125.161
52.0,217.067,160.66,183.18,185.093,75.7146,48.1199,41.8669,124.959
53.0,213.444,156.83,171.24,184.907,75.5593,47.4562,42.0268,122.607
54.0,212.653,154.985,174.724,185.316,75.2,47.2398,39.6971,122.892
55.0,212.165,152.53,174.329,184.256,73.855,45.7619,38.3348,121.59
56.0,207.136,150.557,169.963,184.082,74.2113,44.0722,37.5124,119.571
57.0,206.96,149.31,169.577,184.218,73.1393,42.7847,38.3777,119.713
58.0,203.224,149.283,164.808,184.957,71.9915,44.4725,38.4635,119.924
59.0,200.243,149.66,167.474,185.376,73.1874,43.8521,39.2071,118.114
60.0,199.192,150.018,165.102,185.828,71.4199,44.9427,39.1082,119.995
61.0,194.535,140.535,162.578,184.027,71.5805,43.8259,38.2094,116.335
62.0,193.457,137.883,158.578,184.456,70.4234,43.0623,39.4117,117.178
63.0,192.718,143.045,161.85,185.458,70.2166,42.0143,37.5255,116.659
64.0,190.697,143.759,164.697,184.484,70.3814,42.1591,36.87,114.669
65.0,186.942,135.146,158.617,183.483,69.4334,43.3576,38.4292,114.676
66.0,186.357,136.172,154.615,184.947,68.6084,40.1023,34.723,114.725
67.0,181.391,137.616,157.856,184.318,69.2077,41.9485,35.8861,113.993
68.0,182.013,135.202,152.919,184.023,67.5083,40.2262,38.5334,113.608
69.0,178.257,130.454,147.813,183.509,68.4089,42.2425,35.9593,111.968
70.0,179.284,129.137,162.901,181.694,66.5404,41.2473,33.6415,111.809
71.0,177.137,125.902,146.138,182.165,67.7302,40.4397,32.8289,111.616
72.0,174.803,124.917,146.394,180.966,67.7405,41.0775,34.8268,110.461
73.0,172.286,125.544,151.766,181.068,67.0283,38.1673,36.9352,109.591
74.0,171.243,122.891,147.745,180.484,66.1634,39.0518,33.3398,109.0
75.0,168.888,124.508,149.962,180.597,66.1419,40.4644,34.6888,109.335
76.0,169.675,121.254,147.522,178.261,64.1933,40.0746,33.7218,107.863
77.0,168.297,129.524,150.693,179.672,64.9607,39.6966,32.0568,107.849
78.0,166.635,120.112,137.298,179.994,65.5767,38.9395,35.6297,108.105
79.0,163.501,119.845,145.152,177.62,65.7507,38.7121,30.679,105.682
80.0,164.919,129.848,143.018,180.107,63.5574,40.7121,30.3715,107.612
81.0,165.563,116.309,143.606,179.91,65.0271,37.1352,31.1039,107.312
82.0,163.792,119.771,131.646,178.303,65.1326,38.5565,30.5989,106.853
83.0,165.097,121.87,134.59,178.145,63.7639,39.1978,31.8234,104.177
84.0,160.123,123.603,132.117,179.996,64.4387,39.4767,33.8452,105.721
85.0,163.623,117.534,141.075,179.026,63.6925,36.504,34.0071,105.248
86.0,161.492,114.468,138.518,176.717,63.8837,39.9773,31.5333,103.679
87.0,157.664,143.174,135.78,178.83,63.52,50.7487,30.6904,104.786
88.0,160.091,139.078,156.507,178.588,61.5735,47.0658,33.2879,103.927
89.0,157.928,111.684,138.258,176.633,61.7718,35.8229,31.2895,102.951
90.0,155.152,105.605,136.278,177.668,63.1353,37.5858,31.6772,104.353
91.0,155.025,113.562,122.666,176.559,62.3325,38.3426,28.4054,103.88
