time (min.),CM mean,Outside cochlear aqueduct mean,Cochlear aqueduct mean,Cochlea mean,CM stdev,Outside cochlear aqueduct stdev,Cochlear aqueduct stdev,Cochlea stdev
-2.0,0.245749,0.274376,0.0694603,0.357518,0.139501,0.136705,0.0353336,0.149296
-1.0,1.76231,2.56072,1.47024,2.01043,2.76048,3.0837,2.65255,2.73692
0.0,2.80009,1.91434,2.90993,2.11874,3.47814,2.07592,4.2488,3.06765
1.0,1.45815,1.50616,4.90308,1.31874,2.68945,3.70949,5.39786,2.22836
2.0,5.18471,0.935456,6.13904,2.08902,10.5371,1.91369,9.55656,3.29863
3.0,52.6766,26.194,13.7823,2.60703,75.8151,21.0478,13.6545,4.28413
4.0,121.333,269.496,320.269,5.03063,149.291,122.119,175.616,11.1084
5.0,155.911,72.8775,177.974,12.3519,142.778,93.7863,108.359,36.1437
6.0,185.547,65.7387,163.618,24.7348,154.503,74.2454,105.548,65.5109
7.0,199.808,66.7486,159.652,35.6316,159.079,80.2813,103.496,82.5689
8.0,196.613,66.7226,170.372,44.3486,147.513,75.2209,100.01,92.9625
9.0,202.93,66.2139,153.085,51.0312,148.493,67.3164,95.4737,100.796
10.0,214.451,66.163,146.583,58.3265,125.504,57.6928,101.228,108.706
11.0,261.397,74.4184,149.558,64.0493,158.35,60.6642,98.4024,117.309
12.0,278.135,86.8287,148.98,70.5167,170.379,65.7204,93.5369,124.486
13.0,292.612,90.0073,158.963,77.8139,177.832,65.3289,100.443,130.743
14.0,309.987,99.9611,194.069,85.7576,169.499,54.9109,138.417,135.046
15.0,340.785,155.681,205.434,89.5505,184.365,89.2152,145.266,137.318
16.0,367.416,195.25,226.547,92.9118,196.472,100.827,149.035,140.913
17.0,380.282,224.121,236.54,99.2169,200.065,107.059,145.716,139.554
18.0,401.827,244.122,243.018,103.63,212.169,104.757,142.841,142.894
19.0,420.254,260.293,257.218,105.903,213.482,115.257,149.287,141.503
20.0,445.715,277.06,261.269,111.76,213.392,125.515,146.819,143.771
21.0,462.128,293.515,259.269,112.435,216.348,129.966,159.163,142.822
22.0,470.67,307.983,274.647,118.994,217.379,133.998,146.419,141.777
23.0,454.353,318.513,277.805,120.546,209.118,137.305,122.708,143.016
24.0,464.64,312.296,236.794,120.786,211.622,132.081,138.771,144.604
25.0,458.498,317.942,237.857,125.508,204.978,130.002,137.198,140.647
26.0,456.199,342.796,236.784,128.135,208.033,126.594,133.423,137.878
27.0,458.694,349.112,226.604,131.294,206.736,131.274,129.668,139.996
28.0,452.449,355.666,230.791,131.107,198.851,127.143,135.458,136.368
29.0,449.333,360.55,221.776,135.786,193.548,132.824,139.979,135.539
30.0,443.53,346.294,225.487,135.908,191.982,133.159,144.668,137.498
31.0,439.192,361.927,216.975,138.614,197.428,128.396,134.205,133.472
32.0,430.145,368.365,223.908,141.668,188.624,136.415,140.495,134.552
33.0,416.033,369.075,225.518,140.924,180.768,136.33,137.871,132.995
34.0,402.387,373.959,220.496,146.247,174.01,135.881,131.036,134.181
35.0,399.602,370.809,210.401,148.214,172.905,138.851,129.621,133.337
36.0,385.895,369.492,212.17,148.186,165.729,140.82,133.003,134.146
37.0,381.985,365.154,211.206,150.003,163.236,132.798,129.767,130.253
38.0,360.878,368.817,204.198,153.066,145.876,132.733,130.676,131.008
39.0,360.047,369.001,204.116,155.728,146.009,130.53,110.339,132.264
40.0,352.585,337.115,186.256,155.012,144.382,113.725,103.631,127.263
41.0,350.022,314.385,173.061,157.319,143.72,105.607,97.9165,126.578
42.0,356.997,283.745,166.752,158.256,143.028,99.6426,101.449,128.42
43.0,351.856,272.61,150.895,155.969,143.848,95.996,98.8453,124.134
44.0,347.594,272.349,158.233,157.743,145.201,89.9092,95.4223,124.114
45.0,342.513,269.723,156.678,158.701,143.181,92.4602,92.2128,124.069
46.0,338.987,267.673,152.226,158.094,142.047,91.012,92.9742,122.127
47.0,331.408,256.169,143.704,160.002,138.108,88.1613,87.991,121.453
48.0,326.392,254.205,153.866,159.742,136.556,91.6255,96.1345,120.543
49.0,315.275,250.199,148.254,159.16,133.37,90.778,92.9591,118.077
50.0,307.412,254.752,149.768,160.042,130.809,86.4213,83.3446,118.467
51.0,298.145,239.095,144.135,161.436,127.977,82.2,87.1456,117.553
52.0,292.7,238.879,135.972,160.439,124.936,83.6532,86.7932,117.034
53.0,282.86,236.477,143.279,159.789,121.046,83.2624,88.4508,115.484
54.0,279.125,230.805,134.617,159.709,118.234,83.4961,86.9968,114.627
55.0,271.07,228.73,139.751,160.711,116.578,78.0607,80.0118,112.188
56.0,264.764,220.366,143.167,161.808,113.277,75.4877,87.1074,112.74
57.0,261.082,219.382,124.129,161.805,110.952,76.8668,77.3585,113.135
58.0,255.601,214.414,134.156,161.683,108.707,78.4522,88.5786,111.507
59.0,250.141,207.447,130.692,161.128,106.808,76.846,85.1725,110.309
60.0,245.027,208.88,128.916,162.385,104.74,71.9662,78.5809,110.11
61.0,237.349,197.422,130.947,160.302,101.341,70.8999,89.5793,107.552
62.0,236.792,202.03,128.584,161.837,100.795,73.1803,80.5899,109.17
63.0,232.458,198.853,119.857,161.646,98.6461,69.1387,75.7167,106.572
64.0,228.661,194.053,126.77,161.99,98.1186,67.6629,79.1815,107.705
65.0,225.05,186.061,125.307,162.726,94.7273,67.2634,83.9472,108.359
66.0,221.332,188.868,119.518,162.571,93.6917,70.0997,82.426,106.754
67.0,216.953,185.328,121.799,162.409,92.3108,65.3393,78.1919,104.973
68.0,211.32,178.467,124.295,163.629,90.037,62.0678,79.859,106.937
69.0,208.791,181.297,122.706,163.635,89.6658,65.2288,84.162,105.572
70.0,206.827,175.996,112.733,163.214,88.8182,58.9358,74.8794,106.758
71.0,200.621,174.173,116.601,162.679,86.234,59.6084,75.532,102.934
72.0,199.2,166.608,116.747,162.442,86.1401,57.3118,80.7378,104.239
73.0,198.107,164.756,114.455,161.514,84.3287,58.291,81.6435,103.277
74.0,194.011,163.469,110.007,161.643,83.7021,59.5274,74.2032,102.977
75.0,188.22,165.645,110.679,162.813,81.9211,56.5416,68.6113,103.337
76.0,187.92,157.261,110.849,160.933,81.6118,50.3937,78.1471,100.509
77.0,189.932,160.761,105.542,161.717,81.5347,51.9249,70.4763,100.327
78.0,181.141,158.997,120.438,160.206,80.0658,53.2041,71.7072,100.542
79.0,182.309,153.91,112.211,159.96,80.3499,51.8829,78.1298,99.3248
80.0,180.807,154.56,119.11,158.13,78.22,53.1476,74.3144,98.0147
81.0,177.325,154.32,115.657,159.943,77.1977,50.7974,80.6807,97.8949
82.0,174.891,153.348,108.968,161.583,76.3106,53.3572,71.5514,99.2157
83.0,169.354,146.218,114.581,159.251,74.7328,51.2585,68.0762,99.5572
84.0,172.733,149.407,117.199,157.717,76.8237,49.34,71.28,97.1794
85.0,166.602,147.59,102.642,158.331,75.1742,52.5799,63.0666,97.9908
86.0,165.691,146.795,109.335,156.944,73.165,51.4354,71.2384,96.6641
87.0,164.811,141.284,90.4727,155.798,72.7777,47.3478,65.4245,95.0396
88.0,164.937,144.627,111.803,156.519,73.1792,50.6573,63.9731,96.5433
89.0,160.907,142.183,103.674,155.426,72.5393,50.4946,70.167,95.398
90.0,156.791,138.634,109.304,156.332,70.6889,46.3376,73.7983,96.057
91.0,156.443,135.392,99.5862,156.382,71.164,46.1968,64.9804,95.2753
