time (min.),CM mean,Outside cochlear aqueduct mean,Cochlear aqueduct mean,Cochlea mean,CM stdev,Outside cochlear aqueduct stdev,Cochlear aqueduct stdev,Cochlea stdev
-2.0,0.245749,0.191211,0.0970133,0.335217,0.139501,0.0785309,0.0453163,0.133655
-1.0,1.76231,1.57388,0.7159,2.89476,2.76048,2.84342,1.89144,4.38142
0.0,2.80009,4.92459,3.21322,3.13477,3.47814,6.1632,4.29545,3.98999
1.0,1.45815,1.1411,5.98109,1.79659,2.68945,2.44768,6.67841,3.37274
2.0,5.18471,5.23103,9.37953,3.09294,10.5371,7.04628,13.0838,5.43166
3.0,52.6766,4.21627,9.00494,3.14575,75.8151,5.21233,11.5731,5.77081
4.0,121.333,5.55629,6.14966,4.33045,149.291,6.09384,7.50698,6.52277
5.0,155.911,110.458,21.7434,3.78946,142.778,66.6709,18.1519,5.96457
6.0,185.547,193.247,95.0107,5.37029,154.503,85.8678,56.9651,7.36609
7.0,199.808,178.871,134.262,6.92558,159.079,93.7356,70.5168,10.9723
8.0,196.613,164.979,168.975,5.49616,147.513,94.883,85.5903,9.33734
9.0,202.93,122.319,191.216,5.44962,148.493,92.351,90.0146,13.4263
10.0,214.451,72.0718,188.217,10.3744,125.504,60.2735,96.043,22.1565
11.0,261.397,36.4559,105.868,15.6589,158.35,44.5002,72.1688,37.3205
12.0,278.135,38.7784,77.5648,24.7298,170.379,49.6023,48.2824,59.5816
13.0,292.612,41.5364,64.1521,34.663,177.832,52.138,39.5856,77.2229
14.0,309.987,56.2376,95.1938,43.9727,169.499,58.2034,55.0143,87.2763
15.0,340.785,56.5575,80.7135,46.3535,184.365,56.6993,40.319,92.8164
16.0,367.416,75.2572,104.317,51.7566,196.472,53.6413,51.4323,97.5662
17.0,380.282,69.4966,105.926,57.3261,200.065,57.4134,60.2019,98.7056
18.0,401.827,93.672,110.727,59.6398,212.169,61.7629,54.0541,99.8406
19.0,420.254,119.183,123.67,64.9583,213.482,70.6682,61.772,106.251
20.0,445.715,132.079,132.45,64.7108,213.392,80.508,65.7667,105.37
21.0,462.128,140.907,134.828,66.7261,216.348,79.1257,63.6278,106.529
22.0,470.67,140.973,142.504,70.0758,217.379,76.0844,66.9687,108.685
23.0,454.353,134.574,132.389,67.701,209.118,54.8119,67.5782,109.409
24.0,464.64,138.43,127.572,70.5329,211.622,64.7696,59.0242,109.735
25.0,458.498,139.841,146.406,76.2378,204.978,70.0043,81.1791,109.025
26.0,456.199,161.931,155.54,76.3941,208.033,74.713,73.8141,106.32
27.0,458.694,169.448,156.32,77.9474,206.736,70.2608,72.855,107.21
28.0,452.449,184.098,162.545,81.3464,198.851,75.8682,71.207,105.082
29.0,449.333,192.829,172.702,83.7581,193.548,77.9569,71.7596,107.746
30.0,443.53,200.061,169.344,84.6718,191.982,78.4551,64.9807,105.536
31.0,439.192,210.56,181.046,83.6514,197.428,82.2311,65.7037,104.541
32.0,430.145,216.543,175.275,90.1607,188.624,75.7645,58.9811,106.268
33.0,416.033,221.609,178.122,90.5007,180.768,79.5286,60.4217,105.533
34.0,402.387,225.561,187.711,93.5097,174.01,77.4303,61.2864,105.991
35.0,399.602,232.805,197.905,95.8175,172.905,73.4229,60.4837,105.038
36.0,385.895,242.268,185.391,97.302,165.729,72.9011,57.8565,104.329
37.0,381.985,236.66,189.699,96.4508,163.236,73.469,57.9423,103.21
38.0,360.878,249.421,184.829,99.5248,145.876,74.202,58.6551,102.961
39.0,360.047,244.404,191.509,103.361,146.009,70.628,54.9875,103.5
40.0,352.585,260.484,192.627,99.1426,144.382,76.5114,61.7501,100.005
41.0,350.022,253.341,191.649,101.038,143.72,72.9102,62.7082,99.1258
42.0,356.997,272.473,202.267,103.793,143.028,73.6306,60.9363,100.948
43.0,351.856,277.99,190.991,102.778,143.848,67.8098,61.1597,99.0974
44.0,347.594,282.442,182.636,102.639,145.201,67.8283,60.7135,97.2147
45.0,342.513,281.844,182.138,105.796,143.181,66.0357,59.0654,99.5885
46.0,338.987,289.038,184.998,107.513,142.047,63.0644,58.9474,96.44
47.0,331.408,281.227,187.734,105.251,138.108,63.5895,60.8812,95.9497
48.0,326.392,279.974,184.336,106.286,136.556,65.4181,65.074,95.9887
49.0,315.275,276.891,176.671,106.854,133.37,64.6351,60.436,93.6213
50.0,307.412,276.201,176.636,108.208,130.809,67.1027,59.8707,95.4284
51.0,298.145,267.655,171.537,107.075,127.977,64.8301,60.914,93.4907
52.0,292.7,261.289,166.896,108.402,124.936,64.4207,61.0994,92.121
53.0,282.86,261.292,162.753,109.283,121.046,65.8276,52.7692,91.5739
54.0,279.125,264.507,168.012,109.86,118.234,65.2794,61.3522,92.858
55.0,271.07,262.127,160.518,109.539,116.578,62.5215,54.2624,91.9692
56.0,264.764,258.349,165.581,110.711,113.277,63.2249,56.4672,90.5225
57.0,261.082,258.518,161.454,109.663,110.952,62.6583,56.1258,91.8824
58.0,255.601,269.341,151.049,110.834,108.707,61.7549,49.3185,89.8925
59.0,250.141,262.768,160.948,111.637,106.808,61.6792,53.5596,89.5588
60.0,245.027,267.53,165.926,114.537,104.74,61.6609,52.253,89.616
