time (min.),CM mean,Outside cochlear aqueduct mean,Cochlear aqueduct mean,Cochlea mean,CM stdev,Outside cochlear aqueduct stdev,Cochlear aqueduct stdev,Cochlea stdev
-2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-2.0,0.00777878,0.00164308,0.00476548,0.000923438,0.0129602,0.0178893,0.0125996,0.0189239
-1.5,0.00493674,0.00144974,0.00312022,-0.0010577,0.0157016,0.0157298,0.0139141,0.0221723
-1.0,0.0118504,0.00470687,-0.00458301,2.12248e-05,0.0117739,0.0175564,0.0123811,0.0223397
-0.5,0.014847,0.00283613,-0.00105832,-0.00175098,0.0127785,0.0173712,0.0131778,0.0242219
0.0,0.0342431,-0.000149791,-0.00408426,-0.00102238,0.0187542,0.0174034,0.0110673,0.0227369
0.5,0.362225,0.000295623,0.00151449,-0.00036873,0.116164,0.0192144,0.014513,0.0233112
1.0,1.09228,0.00397771,0.00133202,-0.000325371,0.279854,0.0175325,0.0136494,0.0212515
1.5,0.886718,0.00533374,0.00160269,-0.000217611,0.35786,0.0186094,0.0127122,0.0226062
2.0,1.14086,0.0106965,-0.000748122,-0.00133916,0.251355,0.0222746,0.0102712,0.0228803
2.5,1.16164,0.0263295,0.00681825,-0.000633744,0.231716,0.0376617,0.00824823,0.0222366
3.0,1.22361,0.0965181,0.0236206,-0.00213284,0.217432,0.089316,0.0175774,0.0219226
3.5,1.24206,0.278454,0.0831541,-0.000922847,0.207435,0.183053,0.0610314,0.0212021
4.0,1.24455,0.482766,0.19429,-0.00366335,0.193225,0.278991,0.130027,0.0257307
4.5,1.21851,0.47997,0.238192,0.00767492,0.177827,0.335041,0.133502,0.0347542
5.0,1.20772,0.408591,0.241294,0.0144845,0.175694,0.286686,0.116865,0.0629947
5.5,1.19628,0.371022,0.204751,0.025594,0.167228,0.261827,0.0879631,0.0907207
6.0,1.18999,0.360906,0.18499,0.0326614,0.166885,0.250774,0.0802122,0.113774
6.5,1.18382,0.353301,0.175897,0.0428541,0.17156,0.245237,0.0752367,0.133294
7.0,1.19966,0.357272,0.173741,0.0520314,0.170763,0.241901,0.0753505,0.151288
7.5,1.19417,0.369543,0.169541,0.0604754,0.170304,0.242421,0.0724244,0.166881
8.0,1.19979,0.368385,0.170678,0.0668849,0.16705,0.23669,0.0723564,0.176296
8.5,1.1861,0.377531,0.166603,0.0746499,0.164131,0.237046,0.0625875,0.18716
9.0,1.10767,0.370377,0.164362,0.0806215,0.144429,0.232981,0.065797,0.196672
9.5,1.17972,0.369013,0.183694,0.0876192,0.159799,0.235479,0.0646429,0.203134
10.0,1.21986,0.416332,0.202361,0.0946084,0.15802,0.249813,0.076826,0.207531
10.5,1.16251,0.484712,0.216858,0.0960718,0.143325,0.245534,0.0820234,0.213319
11.0,1.14122,0.543392,0.232675,0.0968375,0.1426,0.252335,0.0851902,0.214318
11.5,1.14336,0.570045,0.245339,0.104919,0.142923,0.251312,0.0951116,0.219764
12.0,1.16475,0.591352,0.235555,0.108398,0.154948,0.251478,0.0924694,0.21933
12.5,1.17234,0.598238,0.238222,0.112969,0.147184,0.247537,0.0910007,0.217769
13.0,1.17672,0.5941,0.226885,0.117091,0.152135,0.249261,0.0903994,0.219351
13.5,1.15419,0.594389,0.23228,0.11991,0.138169,0.254852,0.0884342,0.221012
14.0,1.14576,0.591547,0.230759,0.120398,0.133724,0.25025,0.0878299,0.217159
14.5,1.1812,0.580637,0.23471,0.122815,0.149017,0.248641,0.09782,0.217975
15.0,1.13397,0.595574,0.224881,0.126488,0.13325,0.245216,0.103623,0.220957
15.5,1.14243,0.5996,0.229439,0.132827,0.131876,0.247547,0.104562,0.220162
16.0,1.13879,0.596065,0.227444,0.134458,0.116729,0.250452,0.10308,0.220144
16.5,1.12913,0.592532,0.230635,0.132539,0.122255,0.241997,0.096488,0.216688
17.0,1.10996,0.601316,0.226079,0.138899,0.126146,0.246037,0.105412,0.219907
17.5,1.11822,0.59677,0.221633,0.142368,0.11981,0.245005,0.102548,0.21716
18.0,1.09958,0.598721,0.221101,0.144283,0.116415,0.244201,0.10142,0.21553
18.5,1.10291,0.591077,0.218589,0.145418,0.122385,0.242336,0.0963887,0.215626
19.0,1.10081,0.589195,0.21216,0.148257,0.104749,0.248262,0.0955769,0.214741
19.5,1.09254,0.590175,0.225398,0.149404,0.101826,0.243975,0.0934657,0.213225
20.0,1.11096,0.576931,0.234129,0.149576,0.112889,0.235633,0.0947226,0.213794
20.5,1.08185,0.572327,0.230032,0.149183,0.108385,0.237661,0.0917002,0.211472
21.0,1.08467,0.580068,0.213105,0.156952,0.105034,0.234713,0.0890919,0.214554
21.5,1.07906,0.571455,0.223433,0.155913,0.102371,0.229596,0.0946795,0.210999
22.0,1.06772,0.559964,0.204605,0.157065,0.101167,0.229281,0.0842233,0.209399
22.5,1.06305,0.548718,0.204496,0.159027,0.100826,0.22159,0.0832488,0.206469
23.0,1.05672,0.551438,0.203876,0.162287,0.101644,0.219826,0.0813639,0.207756
23.5,1.05777,0.539221,0.198882,0.164406,0.0989846,0.220294,0.081279,0.206551
24.0,1.05322,0.526875,0.213729,0.163894,0.0956559,0.211379,0.076365,0.204114
24.5,1.03904,0.515221,0.19748,0.167586,0.0907972,0.20839,0.0726562,0.202304
25.0,1.03722,0.512078,0.214961,0.169234,0.0894783,0.202675,0.0786208,0.202541
25.5,1.02718,0.498686,0.19387,0.168308,0.0825734,0.205261,0.0747801,0.198583
26.0,0.996898,0.490079,0.183448,0.171488,0.0847418,0.195372,0.073127,0.197189
26.5,1.02677,0.457803,0.197492,0.17197,0.0895346,0.183053,0.0744245,0.199805
27.0,0.986033,0.451588,0.172035,0.175292,0.0886522,0.175243,0.0739814,0.199136
27.5,0.969307,0.428385,0.176569,0.174064,0.0836988,0.173843,0.0697263,0.194672
28.0,0.961222,0.441318,0.171256,0.177671,0.0836309,0.171385,0.0736365,0.193019
28.5,0.953655,0.425138,0.16736,0.176434,0.0812618,0.173785,0.0674455,0.191346
29.0,0.938106,0.40744,0.157048,0.178405,0.0861003,0.160004,0.0618609,0.187935
29.5,0.932178,0.389465,0.153587,0.181188,0.0770999,0.155229,0.0623192,0.187938
30.0,0.93496,0.37257,0.155825,0.180274,0.0836891,0.149766,0.058093,0.18827
30.5,0.923558,0.364123,0.152127,0.178569,0.0797849,0.146123,0.0593738,0.188583
31.0,0.895664,0.368138,0.151927,0.17914,0.076087,0.150096,0.0618898,0.181876
31.5,0.882981,0.354833,0.149813,0.179523,0.0744734,0.141877,0.0533994,0.183371
32.0,0.908436,0.344142,0.143892,0.178712,0.0762473,0.145585,0.0587225,0.181512
32.5,0.863634,0.338355,0.142913,0.181929,0.0785244,0.13949,0.0511365,0.178157
33.0,0.858587,0.33352,0.13899,0.175881,0.0713006,0.13687,0.0479299,0.174732
33.5,0.841533,0.351676,0.153538,0.186509,0.0720896,0.152787,0.0529735,0.178165
34.0,0.827601,0.354365,0.144309,0.182854,0.0713254,0.147619,0.0557993,0.174504
34.5,0.842815,0.348063,0.139634,0.184495,0.0729847,0.148648,0.0590199,0.17343
35.0,0.806149,0.34893,0.141213,0.184837,0.066405,0.153176,0.0521432,0.175876
