time (min.),CM mean,CM stdev
-2.5,0.0,0.0
-2.0,0.000907954,0.0220968
-1.5,0.00792777,0.0199203
-1.0,-0.000267749,0.0166336
-0.5,0.00283904,0.0195323
0.0,0.0120188,0.0213326
0.5,0.25709,0.256504
1.0,0.937047,0.269972
1.5,1.22269,0.208735
2.0,1.16431,0.294274
2.5,0.995014,0.267836
3.0,1.20424,0.26758
3.5,1.26402,0.245337
4.0,1.20748,0.218326
4.5,1.20307,0.216814
5.0,1.14023,0.217518
5.5,1.14045,0.2107
6.0,1.17243,0.215203
6.5,1.16405,0.207937
7.0,1.15022,0.213373
7.5,1.16772,0.213018
8.0,1.15034,0.208634
8.5,1.17503,0.205954
9.0,1.1407,0.201038
9.5,1.18516,0.200199
10.0,1.17155,0.208743
10.5,1.17707,0.217612
11.0,1.19064,0.208286
11.5,1.15838,0.19043
12.0,1.12971,0.193031
12.5,1.10447,0.184634
13.0,1.06966,0.164759
13.5,1.03587,0.158946
14.0,1.02492,0.15504
14.5,0.99537,0.156117
15.0,0.978882,0.15456
15.5,0.951301,0.140413
16.0,0.941654,0.137708
16.5,0.931727,0.130246
17.0,0.902962,0.142221
17.5,0.89544,0.136628
18.0,0.887152,0.130173
18.5,0.859762,0.133386
19.0,0.861382,0.13467
19.5,0.826156,0.123899
20.0,0.809311,0.123509
20.5,0.773726,0.128687
21.0,0.748793,0.118902
21.5,0.731049,0.122057
22.0,0.721578,0.12283
22.5,0.68977,0.113229
23.0,0.654864,0.118919
23.5,0.653401,0.116135
24.0,0.63944,0.119861
24.5,0.624084,0.116548
25.0,0.606583,0.112422
25.5,0.60638,0.108497
26.0,0.604453,0.114427
26.5,0.598181,0.105576
27.0,0.586746,0.113293
27.5,0.575372,0.105961
28.0,0.570762,0.108392
28.5,0.550998,0.106609
29.0,0.545254,0.101185
29.5,0.541983,0.0972957
30.0,0.539284,0.0976299
30.5,0.527261,0.100491
31.0,0.501499,0.110078
31.5,0.506659,0.100192
32.0,0.476149,0.10208
32.5,0.486858,0.10157
33.0,0.451732,0.100296
33.5,0.455076,0.0919889
34.0,0.453039,0.09798
34.5,0.436003,0.092799
35.0,0.431609,0.0913134
35.5,0.411773,0.0852119
36.0,0.412133,0.0883173
36.5,0.413444,0.0927903
37.0,0.396276,0.0887022
37.5,0.400768,0.0843133
38.0,0.404395,0.0892558
38.5,0.406401,0.0886745
39.0,0.382186,0.0827763
39.5,0.377668,0.0845813
40.0,0.398035,0.0829844
40.5,0.393647,0.088144
41.0,0.384533,0.0827472
41.5,0.374971,0.0822741
42.0,0.358553,0.0830247
42.5,0.368373,0.0756384
43.0,0.348772,0.0721199
43.5,0.359777,0.0761246
44.0,0.350573,0.079574
44.5,0.348859,0.0832825
45.0,0.35006,0.0785783
45.5,0.336269,0.0803009
46.0,0.342399,0.0779836
46.5,0.333819,0.0756475
47.0,0.326198,0.0716004
47.5,0.312282,0.0742489
48.0,0.31194,0.0711215
48.5,0.311638,0.0702207
49.0,0.301626,0.0680774
49.5,0.287053,0.0633025
50.0,0.280291,0.0672312
50.5,0.278151,0.0636994
51.0,0.281497,0.0658416
51.5,0.263661,0.0619865
52.0,0.247231,0.0643113
52.5,0.275034,0.062925
53.0,0.255832,0.0599811
53.5,0.228335,0.0580684
54.0,0.253482,0.0619142
54.5,0.237277,0.0551289
55.0,0.24412,0.0606168
55.5,0.240772,0.0635812
56.0,0.236188,0.0572352
56.5,0.240935,0.0580637
57.0,0.231126,0.057067
57.5,0.225692,0.0543615
58.0,0.226652,0.0595637
58.5,0.211873,0.0508934
59.0,0.235296,0.0561163
59.5,0.211066,0.0582791
