time (min.),CM mean,Outside cochlear aqueduct mean,Cochlear aqueduct mean,Cochlea mean,CM stdev,Outside cochlear aqueduct stdev,Cochlear aqueduct stdev,Cochlea stdev
-2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-2.0,0.000370935,-3.83606e-05,-0.0078023,-0.00162872,0.0140165,0.0102869,0.0087444,0.013642
-1.5,-0.00839327,-0.0019705,-0.00392766,-0.00109524,0.0139639,0.0126917,0.00706937,0.0132167
-1.0,-0.00457401,0.000482374,0.00108898,0.000453299,0.0136923,0.0119325,0.00717762,0.0136211
-0.5,-0.00617453,-0.00131705,-0.00338929,-0.00161455,0.0124963,0.0124617,0.00659668,0.0138818
0.0,0.00899003,-0.00143477,-0.00375636,-0.00117478,0.0107687,0.0105709,0.00734932,0.014123
0.5,0.314741,0.000486342,-0.00107266,-0.00208308,0.122566,0.0123241,0.00794171,0.0138693
1.0,0.640124,0.0553283,-0.00213309,-0.00034241,0.158665,0.0438127,0.0094576,0.0135405
1.5,0.670516,0.198752,0.0286642,0.00142791,0.137463,0.145564,0.0209926,0.0136932
2.0,0.757481,0.268585,0.0856337,0.00194869,0.165119,0.170228,0.0505344,0.0182802
2.5,0.827843,0.26742,0.112944,0.00395417,0.186801,0.163192,0.0572998,0.0259206
3.0,0.839504,0.247975,0.130567,0.0097162,0.194108,0.154481,0.0573761,0.0401655
3.5,0.826281,0.240955,0.134356,0.0144323,0.190381,0.147914,0.0638386,0.0521422
4.0,0.818321,0.207868,0.119102,0.0210191,0.207029,0.122241,0.0627659,0.0667417
4.5,0.812886,0.193899,0.114865,0.0281288,0.203724,0.1073,0.0630654,0.0801491
5.0,0.805017,0.193761,0.113992,0.0356966,0.211633,0.106686,0.0626151,0.0897266
5.5,0.812253,0.187479,0.121545,0.0381126,0.214222,0.106983,0.0624343,0.104292
6.0,0.806879,0.178767,0.117601,0.0467691,0.217673,0.101445,0.0623692,0.112376
6.5,0.795102,0.181117,0.117712,0.0525257,0.222096,0.103449,0.0639757,0.117208
7.0,0.782097,0.179761,0.116659,0.0544381,0.218974,0.0998488,0.0662847,0.12345
7.5,0.76773,0.182396,0.125604,0.0598465,0.221645,0.10101,0.0709538,0.129062
8.0,0.777913,0.184749,0.118103,0.0633565,0.230291,0.1001,0.0693947,0.134362
8.5,0.765088,0.187373,0.122528,0.0632575,0.227562,0.0986154,0.0668217,0.138223
9.0,0.766028,0.187926,0.126599,0.0690971,0.229687,0.0995958,0.0743198,0.141542
9.5,0.780861,0.212846,0.118295,0.0743678,0.235828,0.106285,0.0690974,0.1452
10.0,0.784925,0.25262,0.125053,0.0797146,0.231886,0.132373,0.0765242,0.146883
10.5,0.781866,0.280708,0.130877,0.0780022,0.21899,0.144888,0.0727609,0.1496
