time (min.),CM mean,Cochlea mean,CM stdev,Cochlea stdev
-2.5,0.0,0.0,0.0,0.0
-2.0,-63.933,36.0891,157.475,142.131
-1.5,-76.6312,-6.0773,145.164,159.431
-1.0,-84.2937,83.8106,163.028,143.656
-0.5,-113.995,-5.34455,130.874,136.21
0.0,-117.545,84.5624,184.887,156.384
0.5,-53.8744,-12.1796,182.12,145.182
1.0,-68.4946,76.6877,149.517,156.449
1.5,181.952,87.8716,166.346,146.665
2.0,301.713,55.482,179.762,138.521
2.5,4738.53,43.7306,1354.31,132.92
3.0,4410.79,15.5519,1172.85,140.524
3.5,4007.48,-26.9726,995.578,164.884
4.0,4138.04,36.9075,966.006,160.575
4.5,4177.7,133.621,897.159,142.05
5.0,4271.99,-20.2612,950.797,153.447
5.5,4217.99,41.3968,925.037,149.383
6.0,4188.0,76.9851,893.593,150.19
6.5,4152.62,23.9821,952.383,183.099
7.0,4094.86,87.6706,978.078,142.193
7.5,4144.94,158.616,1043.16,171.217
8.0,4018.66,-4.99364,1078.02,173.791
8.5,4033.52,151.998,1191.26,166.287
9.0,3982.7,121.798,1102.24,184.766
9.5,3961.34,96.9359,1128.48,193.151
10.0,4131.46,156.914,1197.18,202.58
10.5,4130.5,144.94,1225.94,194.776
11.0,4104.12,152.138,1251.87,194.157
11.5,4392.74,200.199,1123.68,198.897
12.0,4619.47,214.622,1096.84,200.272
12.5,4696.95,149.977,1015.47,241.994
13.0,4725.12,209.753,906.359,264.615
13.5,4815.04,235.255,976.022,283.705
14.0,4802.24,254.466,924.998,252.885
14.5,4809.78,286.25,882.102,229.35
15.0,4980.5,223.082,829.705,244.457
15.5,5081.52,235.964,814.896,205.573
16.0,5076.92,210.797,835.77,256.349
16.5,5125.94,237.631,795.508,210.61
17.0,5041.71,276.208,782.802,206.977
17.5,5104.49,238.619,789.398,207.708
18.0,5065.54,231.105,759.804,203.158
18.5,5139.81,271.355,745.059,210.142
19.0,5150.31,271.829,692.715,207.164
19.5,5071.32,236.66,702.386,217.697
20.0,5086.55,244.491,672.69,223.903
20.5,5221.62,356.706,644.985,208.992
21.0,5000.21,240.343,625.801,220.26
21.5,5047.3,257.019,599.432,215.987
22.0,5057.34,260.683,598.107,218.008
22.5,4873.72,289.771,555.642,215.909
23.0,5043.52,228.687,568.835,201.582
23.5,5036.36,238.298,621.571,208.797
24.0,5101.09,284.863,555.374,197.985
24.5,4946.75,299.756,578.728,196.026
25.0,5085.87,305.367,567.181,206.981
25.5,4973.14,246.851,521.924,210.447
26.0,4884.54,280.021,539.221,193.419
26.5,4905.99,268.177,529.415,223.824
27.0,4788.15,208.151,494.764,215.838
27.5,4696.12,237.029,465.534,228.468
28.0,4533.93,249.238,440.706,190.698
28.5,4384.92,281.221,446.597,193.701
29.0,4351.31,236.698,423.543,202.102
29.5,4113.29,250.378,404.136,199.504
30.0,4004.74,223.154,380.522,190.637
30.5,3817.26,181.389,378.25,232.223
31.0,3707.03,246.983,360.032,174.384
31.5,3642.97,268.385,326.781,214.762
32.0,3636.04,207.406,320.636,194.77
32.5,3604.28,191.264,333.92,195.09
33.0,3533.44,202.02,350.744,198.062
33.5,3483.12,258.609,314.295,190.3
34.0,3567.34,229.472,331.293,186.537
34.5,3543.64,215.707,343.2,179.787
35.0,3473.67,249.288,331.652,202.887
35.5,3433.75,220.152,326.414,210.959
36.0,3456.82,211.246,339.336,181.606
36.5,3415.26,176.815,344.42,176.779
37.0,3351.89,159.609,312.94,199.364
37.5,3435.34,155.389,339.836,185.241
38.0,3280.16,241.882,333.218,201.771
38.5,3245.41,221.658,356.881,180.407
39.0,3220.57,221.716,326.819,202.072
39.5,3247.34,158.482,368.668,198.47
40.0,3134.52,245.087,305.892,203.88
40.5,3249.08,215.791,355.935,194.499
41.0,3131.87,182.519,311.586,168.253
41.5,3082.21,234.535,290.891,201.271
42.0,3002.94,234.056,280.999,183.113
42.5,3035.85,159.767,339.376,192.632
43.0,2951.57,162.014,319.639,178.66
43.5,2926.52,188.434,321.067,191.041
44.0,2869.81,151.564,281.177,227.058
44.5,2809.69,288.976,287.559,242.479
45.0,2811.84,103.578,239.277,175.219
45.5,2779.87,263.017,291.427,218.231
46.0,2642.86,299.566,294.553,204.904
46.5,2650.03,192.003,284.863,224.075
47.0,2679.97,225.819,256.832,204.92
47.5,2561.84,259.058,321.158,194.892
48.0,2522.05,267.006,287.083,184.54
48.5,2550.85,245.09,272.337,192.043
49.0,2452.22,103.151,295.619,171.702
49.5,2385.58,255.009,218.303,198.726
50.0,2298.03,157.071,260.75,166.065
50.5,2362.88,237.149,250.009,209.512
51.0,2275.82,181.95,266.412,207.41
51.5,2228.65,220.53,298.183,182.223
52.0,2111.68,192.769,268.681,174.59
52.5,2181.95,251.124,229.927,174.955
53.0,2037.28,271.858,243.929,178.107
53.5,2028.07,281.874,245.933,174.861
54.0,1939.72,206.803,231.119,191.872
54.5,1929.83,335.813,250.746,203.135
55.0,1974.77,205.207,207.554,166.358
55.5,1904.25,238.738,253.968,169.315
56.0,1801.93,135.957,237.702,196.008
56.5,1788.32,242.451,198.948,175.024
57.0,1751.49,262.989,233.703,196.671
57.5,1739.27,139.536,227.595,219.246
58.0,1580.19,247.833,259.035,200.974
58.5,1478.22,271.933,266.254,218.723
59.0,1490.69,242.255,207.438,181.433
59.5,1520.62,242.57,226.586,212.467
