Label Id,Label Name,Number Of Voxels,Volume (mm^3),Image mean (CT_2021-01-20_14h15_F000_FA7Combined_crop_mc [0]),Image stdev (CT_2021-01-20_14h15_F000_FA7Combined_crop_mc [0]),Image mean (CT_2021-01-20_14h15_F000_FA7Combined_crop_mc [1]),Image stdev (CT_2021-01-20_14h15_F000_FA7Combined_crop_mc [1]),Image mean (CT_2021-01-20_14h15_F000_FA7Combined_crop_mc [2]),Image stdev (CT_2021-01-20_14h15_F000_FA7Combined_crop_mc [2]),Image mean (CT_2021-01-20_14h15_F000_FA7Combined_crop_mc [3]),Image stdev (CT_2021-01-20_14h15_F000_FA7Combined_crop_mc [3]),Image mean (CT_2021-01-20_14h15_F000_FA7Combined_crop_mc [4]),Image stdev (CT_2021-01-20_14h15_F000_FA7Combined_crop_mc [4]),Image mean (CT_2021-01-20_14h15_F000_FA7Combined_crop_mc [5]),Image stdev (CT_2021-01-20_14h15_F000_FA7Combined_crop_mc [5]),Image mean (CT_2021-01-20_14h15_F000_FA7Combined_crop_mc [6]),Image stdev (CT_2021-01-20_14h15_F000_FA7Combined_crop_mc [6])
0,Clear Label,48124109,384.993,466.464,1407.73,514.596,1463.68,646.283,1654.96,623.41,1539.33,562.028,1440.76,546.431,1421.27,531.87,1418.47
1,CA1,27,0.000216,408.379,305.248,1572.93,382.107,4400.61,328.466,3208.95,336.212,1861.7,476.26,1397.7,486.735,1544.42,296.008
2,CA2,27,0.000216,119.735,262.355,888.931,406.361,3483.38,466.694,2645.87,388.449,1357.14,253.521,1164.38,351.548,1014.86,330.833
3,CA3,27,0.000216,186.603,397.838,633.89,314.174,2472.55,332.639,2376.28,330.573,1010.91,332.24,986.22,374.573,833.009,283.579
4,CA4,27,0.000216,589.721,926.935,838.567,695.448,2278.78,694.833,1863.61,612.654,1338.93,739.894,1184.66,715.129,1369.82,613.664
5,CA5,27,0.000216,442.662,497.074,581.744,496.287,1633.48,614.401,1643.45,342.86,1073.28,378.629,1234.05,317.492,1037.94,484.335
6,ST1,27,0.000216,325.261,310.543,367.181,368.325,710.729,320.323,673.603,280.787,900.556,347.666,741.575,379.453,590.485,339.986
7,SV1,27,0.000216,276.34,240.978,199.247,301.988,443.256,468.706,170.013,311.539,277.953,192.393,587.218,240.518,320.254,276.3
8,ST2,27,0.000216,115.28,278.553,168.868,339.196,392.341,285.487,820.832,210.772,618.658,301.574,495.104,206.342,815.062,173.543
9,SV2,27,0.000216,451.19,260.639,431.334,225.954,326.364,199.254,288.517,239.901,293.779,330.172,397.772,316.17,335.189,358.511
10,ST3,27,0.000216,313.508,296.19,444.487,335.135,494.553,303.516,882.1,303.737,664.905,379.716,963.012,314.656,879.172,261.244
11,SV3,27,0.000216,536.048,175.965,380.079,332.24,312.066,380.009,399.639,260.037,244.476,308.109,339.135,218.187,282.662,288.123
12,ST4,27,0.000216,0.89101,223.512,300.44,327.902,459.167,353.358,351.482,315.921,479.363,262.055,643.861,200.638,554.123,206.564
13,SV4,27,0.000216,253.683,261.905,223.219,298.183,391.281,325.607,92.6226,332.455,299.676,280.912,-54.7759,350.547,292.845,263.157
14,ST5,27,0.000216,-92.1559,231.008,-82.9488,239.16,165.473,249.434,38.7377,217.507,370.321,249.357,268.024,338.405,363.15,413.909
15,SV5,27,0.000216,125.463,276.976,387.25,290.674,329.674,273.995,193.307,304.7,384.746,255.521,200.901,274.727,207.351,329.082
16,ST6,27,0.000216,-89.8223,309.934,111.291,499.914,-9.54653,339.691,79.7666,266.22,156.351,260.606,350.167,267.937,250.162,449.602
17,SV6,27,0.000216,229.796,242.269,266.454,234.531,156.945,243.261,133.482,333.947,-68.8623,288.591,-44.6353,196.812,64.3648,238.774
18,ST7,27,0.000216,291.869,194.297,336.971,305.252,162.546,216.99,171.838,322.627,322.291,239.242,442.28,375.186,369.387,393.355
19,SV7,27,0.000216,174.001,264.557,299.379,285.205,354.113,305.181,287.075,287.297,241.506,263.07,444.359,290.197,410.416,217.246
20,ST8,27,0.000216,-59.4855,215.937,200.095,207.298,180.748,186.414,235.439,223.768,114.516,304.428,336.887,244.698,-47.5205,295.917
21,SV8,27,0.000216,-15.9533,321.814,8.27366,286.522,312.32,409.962,135.858,231.645,1.90931,274.709,123.044,244.724,159.448,234.69
22,SM1,27,0.000216,487.425,262.974,253.81,373.156,887.955,323.471,877.475,335.65,888.167,423.804,832.924,223.003,801.06,192.119
23,SM2,27,0.000216,891.095,304.339,885.876,386.198,873.19,446.124,925.165,393.152,913.624,425.744,649.291,350.247,970.904,367.413
24,SM3,27,0.000216,434.346,369.439,473.55,317.301,633.55,347.667,702.795,291.049,925.547,348.246,765.759,337.48,716.414,314.259
25,SM4,27,0.000216,329.122,267.6,708.904,324.919,383.389,332.942,572.24,349.454,914.346,300.723,424.078,243.729,683.192,269.048
26,SM5,27,0.000216,457.555,372.219,566.47,316.362,364.211,272.768,403.67,373.946,251.859,343.885,501.257,329.142,440.541,251.954
27,SM6,27,0.000216,378.043,326.532,248.04,288.169,270.273,275.439,287.923,280.628,149.096,291.806,182.742,498.63,335.911,296.513
28,SM7,27,0.000216,229.541,253.559,352.585,321.736,169.843,247.028,410.119,261.731,286.948,369.084,438.165,231.618,399.639,222.038
29,SM8,27,0.000216,574.701,298.41,224.407,323.577,281.347,364.07,301.076,395.526,287.457,197.667,373.63,241.237,630.326,309.486
30,CN1,27,0.000216,-14.1713,265.029,243.034,310.591,220.122,310.758,777.809,309.42,458.955,264.046,376.346,276.387,464.683,274.665
31,CN2,27,0.000216,666.56,390.988,478.345,241.811,432.988,358.125,585.606,216.542,660.832,296.628,755.704,336.837,430.443,238.616
32,CM1,27,0.000216,535.37,280.815,12038.7,769.267,14599.8,746.876,4613.48,407.417,2332.03,453.745,1999.85,518.995,1352.64,530.143
33,CM2,27,0.000216,364.805,362.274,11230,604.21,13936.9,451.108,4478.85,423.627,2279.41,340.679,1908.63,405.512,1322.6,362.057
