Label Id,Label Name,Number Of Voxels,Volume (mm^3),Image mean (CT_2021-01-20_16h55_F000_FA7Combined_crop_mc [0]),Image stdev (CT_2021-01-20_16h55_F000_FA7Combined_crop_mc [0]),Image mean (CT_2021-01-20_16h55_F000_FA7Combined_crop_mc [1]),Image stdev (CT_2021-01-20_16h55_F000_FA7Combined_crop_mc [1]),Image mean (CT_2021-01-20_16h55_F000_FA7Combined_crop_mc [2]),Image stdev (CT_2021-01-20_16h55_F000_FA7Combined_crop_mc [2]),Image mean (CT_2021-01-20_16h55_F000_FA7Combined_crop_mc [3]),Image stdev (CT_2021-01-20_16h55_F000_FA7Combined_crop_mc [3]),Image mean (CT_2021-01-20_16h55_F000_FA7Combined_crop_mc [4]),Image stdev (CT_2021-01-20_16h55_F000_FA7Combined_crop_mc [4]),Image mean (CT_2021-01-20_16h55_F000_FA7Combined_crop_mc [5]),Image stdev (CT_2021-01-20_16h55_F000_FA7Combined_crop_mc [5]),Image mean (CT_2021-01-20_16h55_F000_FA7Combined_crop_mc [6]),Image stdev (CT_2021-01-20_16h55_F000_FA7Combined_crop_mc [6])
0,Clear Label,48124109,384.993,461.879,1342.86,516.059,1402.05,653.109,1619.67,622.369,1483.51,558.795,1374.04,542.13,1347.23,526.654,1347.3
1,CA1,27,0.000216,33.6853,304.694,2827.05,521.673,3509.9,624.621,3080.51,368.246,1668.24,409.928,1320.44,486.009,917.516,268.175
2,CA2,27,0.000216,370.665,653.17,1883.48,753.159,2675.87,520.965,1989.99,563.729,1242.16,613.156,1349.05,648.007,865.793,470.723
3,CA3,27,0.000216,774.175,386.685,1945.07,492.862,2487.64,308.17,1925.52,298.029,1587.57,353.649,1786.67,455.487,1128.73,479.64
4,CA4,27,0.000216,377.922,322.693,1321.36,532.364,1816.03,438.99,1887.26,356.955,1311.59,400.017,1082.21,380.967,991.012,194.712
5,CA5,27,0.000216,690.528,386.933,684.53,526.577,1167.79,317.854,1380.55,248.901,1055.03,238.448,1194.51,149.836,1272.53,389.368
6,ST1,27,0.000216,285.801,198.764,305.853,276.01,572.525,367.836,1089.13,273.338,898.807,265.755,767.799,220.286,1039.04,257.75
7,SV1,27,0.000216,505.867,318.138,258.576,344.746,341.384,295.864,112.634,393.107,424.066,267.801,343.733,343.695,354.053,253.165
8,ST2,27,0.000216,112.173,300.499,492.15,439.976,585.739,296.884,759.032,254.903,961.06,222.953,807.609,209.137,641.531,267.654
9,SV2,27,0.000216,621.438,273.316,497.226,437.445,629.744,263.201,418.403,228.598,414.208,264.593,460.478,277.043,362.652,271.408
10,ST3,27,0.000216,411.775,269.547,382.41,451.34,817.845,275.415,852.914,353.696,929.807,349.187,1054.56,225.652,1039.21,225.391
11,SV3,27,0.000216,518.704,219.485,567.994,242.826,161.673,289.404,96.5255,328.734,325.359,251.063,472.727,253.581,539.049,309.05
12,ST4,27,0.000216,360.597,192.644,583.054,359.496,672.071,271.937,763.73,398.498,814.615,250.693,872.211,371.896,781.558,295.533
13,SV4,27,0.000216,211.76,232.23,312.271,383.919,77.4805,312.546,351.452,233.402,206.852,377.654,30.2035,189.615,470.21,228.057
14,ST5,27,0.000216,-98.8746,328.855,462.114,273.547,112.215,291.695,-46.0604,321.351,564.806,252.24,372.007,223.368,311.138,216.012
15,SV5,27,0.000216,128.575,307.933,202.322,308.394,397.26,285.908,27.0573,263.185,182.396,279.161,129.54,275.451,461.527,293.183
16,ST6,27,0.000216,-43.082,216.85,192.673,262.499,-150.263,295.016,329.806,337.971,332.239,313.454,231.477,207.412,39.726,315.289
17,SV6,27,0.000216,143.551,263.366,98.6229,357.321,-19.0031,229.417,-41.2362,283.843,55.0795,289.496,136.881,159.111,253.332,213.512
18,ST7,27,0.000216,338.951,247.487,348.222,215.2,364.078,319.964,385.011,174.897,448.355,156.322,474.783,279.744,384.382,251.913
19,SV7,27,0.000216,405.147,290.384,351.284,335.075,126.897,280.841,244.9,210.743,265.162,164.436,121.485,153.367,356.695,366.87
20,ST8,27,0.000216,166.036,308.179,158.359,369.238,250.647,264.978,-28.4836,361.191,394.534,241.187,185.374,259.119,240.034,290.832
21,SV8,27,0.000216,423.185,258.633,214.11,205.046,70.2652,353.998,149.424,214.272,228.372,253.889,218.724,307.326,410.432,287.135
22,SM1,27,0.000216,549.453,220.376,353.507,344.33,687.298,261.598,1087.03,356.619,1095.51,227.86,1004.27,348.795,884.712,258.22
23,SM2,27,0.000216,491.605,264.177,901.701,407.976,853.25,280.356,813.901,401.121,861.85,391.625,860.13,187.534,842.679,182.795
24,SM3,27,0.000216,531.456,363.491,751.229,244.625,539.595,342.278,640.273,223.152,753.285,368.948,912.063,309.234,807.609,218.672
25,SM4,27,0.000216,451.039,208.232,718.676,336.381,657.388,302.083,611.286,372.946,876.7,416.065,824.305,313.971,498.274,232.205
26,SM5,27,0.000216,119.682,279.35,560.192,352.004,292.639,251.992,129.33,283.443,420.584,333.343,631.673,311.82,374.314,233.032
27,SM6,27,0.000216,150.095,310.509,319.612,346.983,-7.67673,329.362,160.624,335.33,245.152,236.983,242.719,298.341,409.761,217.415
28,SM7,27,0.000216,92.792,269.509,517.655,247.704,377.376,220.458,794.521,324.163,544.754,180.788,365.001,345.752,399.274,281.804
29,SM8,27,0.000216,592.744,177.409,546.852,371.627,672.406,363.111,616.446,322.647,449.823,393.65,503.98,228.318,717.544,333.466
30,CN1,27,0.000216,149.424,314.162,123.373,371.146,515.432,367.085,683.984,303.91,628.485,262.045,425.408,244.377,555.409,226.395
31,CN2,27,0.000216,618.501,304.417,658.269,281.817,325.527,335.886,575.881,299.088,608.35,336.879,674.336,257.465,548.991,314.462
32,CM1,27,0.000216,104.328,388.864,11134,546.241,13799.2,582.564,4389.5,308.59,1948.04,262.913,1542.02,198.425,917.432,271.226
33,CM2,27,0.000216,-84.2343,169.67,10252.5,514.662,13313.6,705.971,4305.05,378.047,1723.99,223.932,1512.74,271.54,1138.97,209.377
