Label Id,Label Name,Number Of Voxels,Volume (mm^3),Image mean (CT_20200120_12h12_F000_FA7Combined_crop_mc [0]),Image stdev (CT_20200120_12h12_F000_FA7Combined_crop_mc [0]),Image mean (CT_20200120_12h12_F000_FA7Combined_crop_mc [1]),Image stdev (CT_20200120_12h12_F000_FA7Combined_crop_mc [1]),Image mean (CT_20200120_12h12_F000_FA7Combined_crop_mc [2]),Image stdev (CT_20200120_12h12_F000_FA7Combined_crop_mc [2]),Image mean (CT_20200120_12h12_F000_FA7Combined_crop_mc [3]),Image stdev (CT_20200120_12h12_F000_FA7Combined_crop_mc [3]),Image mean (CT_20200120_12h12_F000_FA7Combined_crop_mc [4]),Image stdev (CT_20200120_12h12_F000_FA7Combined_crop_mc [4]),Image mean (CT_20200120_12h12_F000_FA7Combined_crop_mc [5]),Image stdev (CT_20200120_12h12_F000_FA7Combined_crop_mc [5]),Image mean (CT_20200120_12h12_F000_FA7Combined_crop_mc [6]),Image stdev (CT_20200120_12h12_F000_FA7Combined_crop_mc [6])
0,Clear Label,48124109,384.993,476.678,1313.4,523.482,1356.68,678.689,1640.51,651.301,1498.98,576.098,1352.88,556.681,1320.14,538.458,1317.16
1,CA1,27,0.000216,-149.927,438.47,2597.44,335.491,6013.49,542.992,4446.09,561.699,1985.62,292.06,1234.37,438.994,940.252,414.112
2,CA2,27,0.000216,425.233,188.258,2275.54,312.841,5384.64,361.55,3816.14,321.438,1855.32,274.443,1097.27,279.509,992.281,181.786
3,CA3,27,0.000216,172.268,390.536,2185.24,424.062,4350.65,482.455,3313.73,570.209,1352.79,417.67,1112.86,279.754,830.461,308.853
4,CA4,27,0.000216,151.881,482.523,1615.86,469.081,2798.33,423.408,2481.57,491.014,1173.89,267.17,703.299,397.028,621.922,374.449
5,CA5,27,0.000216,-66.724,401.809,917.614,503.698,2423.85,358.255,2160.31,382.709,865.628,318.772,887.841,273.353,789.56,328.334
6,ST1,27,0.000216,191.295,426.21,196.01,273.7,333.493,232.362,551.97,422.446,814.662,257.432,671.402,306.492,441.202,402.689
7,SV1,27,0.000216,153.283,221.155,434.025,241.624,122.957,211.922,263.286,323.485,266.301,180.645,109.791,260.113,337.485,245.523
8,ST2,27,0.000216,90.9757,240.235,322.322,262.662,302.658,362.956,373.926,283.351,555.58,436.516,575.203,271.006,656.41,256.202
9,SV2,27,0.000216,520.965,273.685,496.077,267.161,315.315,227.526,387.56,265.756,459.126,228.207,195.458,330.823,323.384,237.648
10,ST3,27,0.000216,145.043,353.952,506.1,361.347,106.478,307.97,626.594,375.503,692.214,350.248,527.634,329.63,664.862,346.727
11,SV3,27,0.000216,381.486,283.412,616.91,360.298,225.698,319.686,173.584,251.536,156.595,231.203,86.0914,343.42,244.428,254.578
12,ST4,27,0.000216,174.519,246.512,229.988,252.41,246.467,331.206,451.778,305.496,552.65,406.955,715.191,245.721,399.452,147.065
