Label Id,Label Name,Number Of Voxels,Volume (mm^3),Image mean (CT_20200120_12h12_F000_FA7Combined_crop_mc 2 [0]),Image stdev (CT_20200120_12h12_F000_FA7Combined_crop_mc 2 [0]),Image mean (CT_20200120_12h12_F000_FA7Combined_crop_mc 2 [1]),Image stdev (CT_20200120_12h12_F000_FA7Combined_crop_mc 2 [1]),Image mean (CT_20200120_12h12_F000_FA7Combined_crop_mc 2 [2]),Image stdev (CT_20200120_12h12_F000_FA7Combined_crop_mc 2 [2]),Image mean (CT_20200120_12h12_F000_FA7Combined_crop_mc 2 [3]),Image stdev (CT_20200120_12h12_F000_FA7Combined_crop_mc 2 [3]),Image mean (CT_20200120_12h12_F000_FA7Combined_crop_mc 2 [4]),Image stdev (CT_20200120_12h12_F000_FA7Combined_crop_mc 2 [4]),Image mean (CT_20200120_12h12_F000_FA7Combined_crop_mc 2 [5]),Image stdev (CT_20200120_12h12_F000_FA7Combined_crop_mc 2 [5]),Image mean (CT_20200120_12h12_F000_FA7Combined_crop_mc 2 [6]),Image stdev (CT_20200120_12h12_F000_FA7Combined_crop_mc 2 [6])
0,Clear Label,48124109,384.993,476.677,1313.4,523.482,1356.67,678.687,1640.51,651.298,1498.98,576.098,1352.88,556.679,1320.14,538.457,1317.16
1,CA1,27,0.000216,223.702,297.549,3528.22,555.916,7530.26,658.977,5469.29,681.494,2225.76,371.9,1800.61,395.922,1547.01,261.055
2,CA2,27,0.000216,539.781,373.704,2159.21,488.853,5567.23,821.767,4293.78,659.772,1599.68,251.973,1365.66,298.92,1211.99,278.997
3,CA3,27,0.000216,539.059,467.549,1496.09,472.472,4449.15,522.792,3436.52,379.265,1361.15,359.778,1377.29,387.353,1141.53,410.108
4,CA4,27,0.000216,675.225,631.69,1379.54,567.031,3333.02,692.412,3061.66,599.847,1306.62,589.609,1480.37,757.697,1319.49,576.583
5,CA5,27,0.000216,107.2,436.31,884.316,466.899,1892.06,522.757,1986.64,430,1116.55,248.969,1281.14,384.973,1151.04,351.1
6,ST1,27,0.000216,307.797,168.633,136.591,542.867,690.982,350.13,600.261,389.024,1092.86,286.622,817.889,209.177,811.349,237.378
7,SV1,27,0.000216,280.912,302.538,464.138,235.723,488.559,337.418,331.539,300.947,351.841,286.594,463.968,199.748,118.795,270.172
8,ST2,27,0.000216,176.048,373.264,613.64,336.896,493.741,359.533,878.413,313.599,614.022,354.683,749.424,386.611,637,328.721
9,SV2,27,0.000216,532.688,286.42,546.576,260.315,541.989,373.008,312.554,282.045,436.7,339.054,470.126,305.159,299.175,237.621
10,ST3,27,0.000216,278.066,391.609,570.616,328.045,543.263,285.054,751.25,398.048,1051.02,248.448,916.723,308.284,470.508,398.127
11,SV3,27,0.000216,129.71,280.05,433.345,269.989,631.309,188.743,157.572,391.083,66.5966,283.207,451.396,368.16,158.592,261.503
12,ST4,27,0.000216,3.5252,397.145,260.525,349.06,209.728,308.174,529.63,288.527,505.293,323.737,573.631,290.995,462.481,213.44
13,SV4,27,0.000216,10.9154,264.4,381.911,242.86,40.1788,228.811,176.855,346.877,180.21,207.998,190.064,260.899,12.0621,325.317
14,ST5,27,0.000216,203.697,247.252,330.52,333.013,72.2029,294.753,295.565,340.998,184.967,365.099,351.161,253.564,121.301,333.575
15,SV5,27,0.000216,319.817,312.671,104.142,319.482,-112.424,257.938,-47.1443,357.935,12.7842,300.742,181.951,265.759,239.756,183.174
16,ST6,27,0.000216,345.64,300.105,-31.472,347.053,166.407,232.779,368.915,323.934,342.964,261.119,473.439,420.257,577.793,304.733
17,SV6,27,0.000216,321.77,367.608,296.287,351.345,284.819,251.875,204.037,238.148,163.816,329.574,268.213,235.164,279.34,354.803
18,ST7,27,0.000216,180.72,294.41,265.282,298.553,330.18,407.286,432.241,325.518,318.033,265.708,187.43,308.474,282.653,257.787
19,SV7,27,0.000216,36.059,268.896,76.4502,495.148,393.379,224.314,159.781,366.541,222.47,179.486,116.332,303.449,488.814,222.799
20,ST8,27,0.000216,279.298,203.099,424.298,286.57,318.882,280.133,24.2092,242.251,238.694,364.826,269.19,346.113,76.2803,309.37
21,SV8,27,0.000216,333.365,204.602,221.706,192.789,272.035,321.202,279.68,288.449,341.18,239.74,-66.6391,231.944,136.124,289.148
22,SM1,27,0.000216,565.307,261.39,483.845,254.651,778.39,300.545,746.069,285.178,898.799,252.723,907.761,337.872,937.959,301.624
23,SM2,27,0.000216,738.933,362.296,695.951,377.908,1105.64,324.096,1234.42,401.947,1243.5,364.744,1029.44,385.394,987.057,256.193
24,SM3,27,0.000216,366.876,295.418,512.301,314.868,467.323,505.52,1014.24,332.059,524.83,325.717,744.837,314.975,706.909,250.702
25,SM4,27,0.000216,649.274,379.686,473.991,318.29,478.918,260.849,622.559,274.436,718.589,264.456,711.794,303.539,689.708,363.609
26,SM5,27,0.000216,231.899,272.54,572.824,226.487,379.83,412.522,498.71,254.008,362.799,336.969,730.906,374.94,387.772,275.471
27,SM6,27,0.000216,209.176,390.228,220.007,314.123,140.329,234.065,142.919,264.842,320.666,245.024,218.817,192.32,291.275,369.049
28,SM7,27,0.000216,499.729,277.944,392.869,332.042,355.961,250.241,516.803,196.927,341.647,297.321,153.07,206.326,296.117,294.257
29,SM8,27,0.000216,368.447,308.53,448.932,336.111,389.981,283.905,638.571,328.428,297.009,309.731,489.324,229.754,555.283,295.844
30,CN1,27,0.000216,53.5151,314.461,-24.9737,289.844,661.676,228.994,740.165,383.532,435.851,344.64,691.152,221.005,681.766,280.649
31,CN2,27,0.000216,500.409,325.226,640.695,329.23,766.031,430.111,970.747,362.466,553.882,405.426,774.228,378.599,687.669,222.485
32,CM1,27,0.000216,425.997,274.619,2682.21,491.174,3267.61,1630.23,2174.75,903.847,1200.18,325.81,918.167,327.396,654.371,299.566
33,CM2,27,0.000216,190.828,443.652,-484.609,666.813,954.013,729.036,595.887,610.687,620.223,480.159,79.8055,545.33,347.976,389.268
