Label Id,Label Name,Number Of Voxels,Volume (mm^3),Image mean (CT_20200120_12h12_F000_FA7Combined_crop_mc [0]),Image stdev (CT_20200120_12h12_F000_FA7Combined_crop_mc [0]),Image mean (CT_20200120_12h12_F000_FA7Combined_crop_mc [1]),Image stdev (CT_20200120_12h12_F000_FA7Combined_crop_mc [1]),Image mean (CT_20200120_12h12_F000_FA7Combined_crop_mc [2]),Image stdev (CT_20200120_12h12_F000_FA7Combined_crop_mc [2]),Image mean (CT_20200120_12h12_F000_FA7Combined_crop_mc [3]),Image stdev (CT_20200120_12h12_F000_FA7Combined_crop_mc [3]),Image mean (CT_20200120_12h12_F000_FA7Combined_crop_mc [4]),Image stdev (CT_20200120_12h12_F000_FA7Combined_crop_mc [4]),Image mean (CT_20200120_12h12_F000_FA7Combined_crop_mc [5]),Image stdev (CT_20200120_12h12_F000_FA7Combined_crop_mc [5]),Image mean (CT_20200120_12h12_F000_FA7Combined_crop_mc [6]),Image stdev (CT_20200120_12h12_F000_FA7Combined_crop_mc [6])
0,Clear Label,48124981,385,476.674,1313.39,523.484,1356.67,678.694,1640.51,651.304,1498.98,576.099,1352.87,556.68,1320.13,538.457,1317.15
1,Label 1,1,8e-06,-157.105,nan,2243.05,nan,6677.54,nan,5207.4,nan,1605.45,nan,1474.72,nan,792.406,nan
2,Label 2,1,8e-06,448.38,nan,2497.63,nan,5569.78,nan,4549.17,nan,1683.43,nan,1024.05,nan,1217.85,nan
3,Label 3,1,8e-06,498.837,nan,2294.65,nan,5379.42,nan,4101.93,nan,2191.44,nan,944.924,nan,760.297,nan
4,Label 4,1,8e-06,345.173,nan,1668.53,nan,5347.31,nan,3856.53,nan,2006.82,nan,1418.53,nan,910.522,nan
5,Label 5,1,8e-06,-41.2831,nan,1957.51,nan,4908.1,nan,3536.59,nan,1478.16,nan,842.863,nan,324.531,nan
6,Label 6,1,8e-06,345.173,nan,2310.71,nan,4330.14,nan,2920.78,nan,1049.28,nan,888.733,nan,743.096,nan
7,Label 7,1,8e-06,294.715,nan,2220.11,nan,4054.92,nan,2901.28,nan,1011.44,nan,847.45,nan,545.854,nan
8,Label 8,1,8e-06,749.976,nan,1240.79,nan,3763.64,nan,2827.89,nan,1518.3,nan,642.181,nan,34.4026,nan
9,Label 9,1,8e-06,-442.647,nan,1599.72,nan,2736.15,nan,2271.72,nan,955.245,nan,116.969,nan,635.301,nan
10,Label 10,1,8e-06,-192.654,nan,2220.11,nan,2503.36,nan,2272.86,nan,1104.32,nan,150.225,nan,923.136,nan
11,Label 11,1,8e-06,-323.384,nan,1228.17,nan,2223.55,nan,2480.43,nan,778.645,nan,846.303,nan,766.031,nan
12,Label 12,1,8e-06,-663.97,nan,585.991,nan,2482.72,nan,2329.05,nan,693.785,nan,768.324,nan,964.419,nan
13,Label 13,1,8e-06,-116.969,nan,448.38,nan,2551.52,nan,2014.84,nan,1105.47,nan,446.087,nan,655.943,nan
14,Label 14,1,8e-06,13.761,nan,466.728,nan,2338.23,nan,1997.64,nan,1285.51,nan,-52.7506,nan,800.433,nan
15,Label 15,1,8e-06,829.102,nan,1083.68,nan,2041.22,nan,1974.71,nan,1059.6,nan,540.121,nan,1114.64,nan
16,Label 16,1,8e-06,366.961,nan,1160.51,nan,1378.4,nan,1152.49,nan,547.001,nan,1279.78,nan,1307.3,nan
17,Label 17,1,8e-06,799.287,nan,612.366,nan,1366.93,nan,1870.35,nan,884.146,nan,1782.05,nan,1010.29,nan
18,Label 18,1,8e-06,998.822,nan,1129.55,nan,845.157,nan,1938.01,nan,1020.61,nan,1848.57,nan,835.983,nan
19,Label 19,1,8e-06,4.58701,nan,524.066,nan,76.8324,nan,1379.54,nan,959.832,nan,1315.33,nan,1305,nan
