Label Id,Label Name,Number Of Voxels,Volume (mm^3),Image mean (CT_2021-01-20_13h36_F000_FA7Combined_crop_mc [0]),Image stdev (CT_2021-01-20_13h36_F000_FA7Combined_crop_mc [0]),Image mean (CT_2021-01-20_13h36_F000_FA7Combined_crop_mc [1]),Image stdev (CT_2021-01-20_13h36_F000_FA7Combined_crop_mc [1]),Image mean (CT_2021-01-20_13h36_F000_FA7Combined_crop_mc [2]),Image stdev (CT_2021-01-20_13h36_F000_FA7Combined_crop_mc [2]),Image mean (CT_2021-01-20_13h36_F000_FA7Combined_crop_mc [3]),Image stdev (CT_2021-01-20_13h36_F000_FA7Combined_crop_mc [3]),Image mean (CT_2021-01-20_13h36_F000_FA7Combined_crop_mc [4]),Image stdev (CT_2021-01-20_13h36_F000_FA7Combined_crop_mc [4]),Image mean (CT_2021-01-20_13h36_F000_FA7Combined_crop_mc [5]),Image stdev (CT_2021-01-20_13h36_F000_FA7Combined_crop_mc [5]),Image mean (CT_2021-01-20_13h36_F000_FA7Combined_crop_mc [6]),Image stdev (CT_2021-01-20_13h36_F000_FA7Combined_crop_mc [6])
0,Clear Label,48124981,385,448.81,1283.26,495.938,1335.14,619.17,1509.79,598.956,1399.79,548.067,1313.69,534.024,1295.71,521.531,1295.48
1,Label 1,1,8e-06,206.052,nan,1679.32,nan,3390.7,nan,2754.23,nan,2282.6,nan,1422.9,nan,1652.99,nan
2,Label 2,1,8e-06,-72.1181,nan,2019.31,nan,3761.59,nan,3587.59,nan,1331.32,nan,1041.71,nan,1572.86,nan
3,Label 3,1,8e-06,323.959,nan,1127.56,nan,3055.29,nan,2962.57,nan,1219.14,nan,761.247,nan,1065.75,nan
4,Label 4,1,8e-06,477.353,nan,995.917,nan,2998.05,nan,2737.06,nan,873.431,nan,606.708,nan,1326.74,nan
5,Label 5,1,8e-06,282.749,nan,1722.82,nan,2785.13,nan,2439.42,nan,738.352,nan,384.63,nan,983.325,nan
6,Label 6,1,8e-06,608.998,nan,1086.35,nan,2695.84,nan,2487.5,nan,1308.43,nan,915.786,nan,1277.52,nan
7,Label 7,1,8e-06,413.248,nan,1497.31,nan,3094.21,nan,2457.74,nan,1166.48,nan,1190.52,nan,1467.55,nan
8,Label 8,1,8e-06,380.051,nan,1319.88,nan,2465.75,nan,1445.8,nan,1311.86,nan,936.391,nan,1140.15,nan
9,Label 9,1,8e-06,461.327,nan,1406.88,nan,2474.91,nan,1768.61,nan,1177.93,nan,1113.82,nan,843.668,nan
10,Label 10,1,8e-06,715.458,nan,2340.98,nan,2179.57,nan,2487.5,nan,1389.71,nan,1045.14,nan,1631.24,nan
11,Label 11,1,8e-06,282.749,nan,1569.43,nan,2102.87,nan,2426.83,nan,1422.9,nan,1110.39,nan,804.747,nan
12,Label 12,1,8e-06,787.576,nan,1363.38,nan,2058.23,nan,2065.1,nan,1701.07,nan,973.023,nan,784.142,nan
13,Label 13,1,8e-06,462.472,nan,2291.75,nan,1492.73,nan,1624.38,nan,1652.99,nan,1279.81,nan,400.656,nan
14,Label 14,1,8e-06,-177.434,nan,1477.85,nan,1334.76,nan,1551.11,nan,1155.03,nan,295.341,nan,683.405,nan
15,Label 15,1,8e-06,173.999,nan,770.405,nan,1754.87,nan,1216.85,nan,1080.63,nan,180.868,nan,99.5917,nan
16,Label 16,1,8e-06,373.183,nan,701.721,nan,1959.78,nan,1712.52,nan,321.67,nan,878.01,nan,584.958,nan
17,Label 17,1,8e-06,903.194,nan,164.841,nan,1391.99,nan,2310.07,nan,859.694,nan,950.128,nan,878.01,nan
18,Label 18,1,8e-06,839.089,nan,973.023,nan,1822.41,nan,1383.98,nan,1243.18,nan,1126.42,nan,1599.19,nan
19,Label 19,1,8e-06,330.828,nan,477.353,nan,1461.82,nan,412.104,nan,1246.61,nan,1852.18,nan,835.655,nan
