Label Id,Label Name,Number Of Voxels,Volume (mm^3),Image mean (CT_2021-01-20_10h49_F000_FA7Combined_crop_mc [0]),Image stdev (CT_2021-01-20_10h49_F000_FA7Combined_crop_mc [0]),Image mean (CT_2021-01-20_10h49_F000_FA7Combined_crop_mc [1]),Image stdev (CT_2021-01-20_10h49_F000_FA7Combined_crop_mc [1]),Image mean (CT_2021-01-20_10h49_F000_FA7Combined_crop_mc [2]),Image stdev (CT_2021-01-20_10h49_F000_FA7Combined_crop_mc [2]),Image mean (CT_2021-01-20_10h49_F000_FA7Combined_crop_mc [3]),Image stdev (CT_2021-01-20_10h49_F000_FA7Combined_crop_mc [3]),Image mean (CT_2021-01-20_10h49_F000_FA7Combined_crop_mc [4]),Image stdev (CT_2021-01-20_10h49_F000_FA7Combined_crop_mc [4]),Image mean (CT_2021-01-20_10h49_F000_FA7Combined_crop_mc [5]),Image stdev (CT_2021-01-20_10h49_F000_FA7Combined_crop_mc [5]),Image mean (CT_2021-01-20_10h49_F000_FA7Combined_crop_mc [6]),Image stdev (CT_2021-01-20_10h49_F000_FA7Combined_crop_mc [6])
0,Clear Label,48124595,384.997,456.19,1318.95,494.965,1356.98,652.156,1635.18,634.447,1526.94,564.392,1364.83,545.523,1337.31,528.415,1326.32
1,Label 1,27,0.000216,666.404,422.92,1778.46,474.019,5030.83,1036.82,4302.33,645.328,1954.99,440.638,1608.69,270.754,1329.55,334.73
2,Label 2,27,0.000216,212.822,279.527,755.316,483.902,4404.86,756.248,3339.04,892.576,1419.13,296.609,1278.27,331.914,1182.55,297.497
3,Label 3,27,0.000216,522.616,276.327,364.127,407.437,3590.78,899.883,2801.68,583.682,1454.8,429.038,761.957,303.29,943.999,341.973
4,Label 4,27,0.000216,548.425,457.142,481.814,347.961,3006.4,445.068,2691.55,521.284,1343.67,390.739,1370.73,398.903,959.618,331.459
5,Label 5,27,0.000216,571.186,456.924,885.574,336.657,2352.65,556.48,1991.03,588.774,1255.26,308.771,1308.46,401.38,998.625,468.878
6,Label 6,27,0.000216,897.601,517.843,1161,732.556,1973.4,596.228,2204.35,654.363,1546.17,500.525,1491.25,672.015,1521.62,518.277
7,Label 7,27,0.000216,682.942,385.042,518.272,348.641,1107.12,459.907,1550.39,439.716,1111.8,363.686,1156.99,335.322,1170.35,281.609
8,Label 8,27,0.000216,534.268,263.888,586.22,249.98,972.147,203.118,1394.16,270.622,957.99,367.522,1050.45,234.223,799,352.55
9,Label 9,27,0.000216,456.673,359.382,417.416,297.347,881.773,297.205,810.944,457.195,740.198,298.718,697.225,197.736,983.924,377.871
10,Label 10,27,0.000216,464.315,280.221,226.812,307.411,722.282,367.268,365.798,352.311,683.151,302.392,442.599,143.328,470.454,330.279
11,Label 11,27,0.000216,258.593,311.57,459.304,420.415,523.743,359.556,354.981,387.606,346.754,408.118,343.413,292.541,585.218,213.379
12,Label 12,27,0.000216,-335.896,453.125,310.88,383.766,598.289,285.156,490.876,323.353,319.942,327.176,379.997,297.933,315.724,252.49
13,Label 13,27,0.000216,-721.238,316.524,-124.202,377.993,521.363,326.267,513.846,402.111,313.26,310.262,565.798,280.332,515.057,248.013
14,Label 14,27,0.000216,-592.986,299.696,-622.428,279.956,-160.869,493.511,215.411,357.573,373.064,303.335,327.418,277.254,374.317,369.634
15,Label 15,27,0.000216,-802.759,349.135,-809.441,321.586,-746.88,172.538,-226.269,348.525,358.322,257.567,97.3066,238.696,258.134,261.208
