Label Id,Label Name,Number Of Voxels,Volume (mm^3),Image mean (CT_2021-01-20_10h49_F000_FA7Combined_crop_mc [0]),Image stdev (CT_2021-01-20_10h49_F000_FA7Combined_crop_mc [0]),Image mean (CT_2021-01-20_10h49_F000_FA7Combined_crop_mc [1]),Image stdev (CT_2021-01-20_10h49_F000_FA7Combined_crop_mc [1]),Image mean (CT_2021-01-20_10h49_F000_FA7Combined_crop_mc [2]),Image stdev (CT_2021-01-20_10h49_F000_FA7Combined_crop_mc [2]),Image mean (CT_2021-01-20_10h49_F000_FA7Combined_crop_mc [3]),Image stdev (CT_2021-01-20_10h49_F000_FA7Combined_crop_mc [3]),Image mean (CT_2021-01-20_10h49_F000_FA7Combined_crop_mc [4]),Image stdev (CT_2021-01-20_10h49_F000_FA7Combined_crop_mc [4]),Image mean (CT_2021-01-20_10h49_F000_FA7Combined_crop_mc [5]),Image stdev (CT_2021-01-20_10h49_F000_FA7Combined_crop_mc [5]),Image mean (CT_2021-01-20_10h49_F000_FA7Combined_crop_mc [6]),Image stdev (CT_2021-01-20_10h49_F000_FA7Combined_crop_mc [6])
0,Clear Label,48124379,384.995,456.189,1318.96,494.965,1356.98,652.158,1635.19,634.449,1526.94,564.392,1364.83,545.523,1337.31,528.415,1326.32
1,Label 1,27,0.000216,666.404,422.92,1778.46,474.019,5030.83,1036.82,4302.33,645.328,1954.99,440.638,1608.69,270.754,1329.55,334.73
2,Label 2,27,0.000216,212.822,279.527,755.316,483.902,4404.86,756.248,3339.04,892.576,1419.13,296.609,1278.27,331.914,1182.55,297.497
3,Label 3,27,0.000216,522.616,276.327,364.127,407.437,3590.78,899.883,2801.68,583.682,1454.8,429.038,761.957,303.29,943.999,341.973
4,Label 4,27,0.000216,548.425,457.142,481.814,347.961,3006.4,445.068,2691.55,521.284,1343.67,390.739,1370.73,398.903,959.618,331.459
5,Label 5,27,0.000216,571.186,456.924,885.574,336.657,2352.65,556.48,1991.03,588.774,1255.26,308.771,1308.46,401.38,998.625,468.878
6,Label 6,27,0.000216,897.601,517.843,1161,732.556,1973.4,596.228,2204.35,654.363,1546.17,500.525,1491.25,672.015,1521.62,518.277
7,Label 7,27,0.000216,444.645,208.863,718.858,269.463,1073.25,241.418,1016.54,279.979,1020.76,248.47,1306.08,356.82,1241.31,283.849
8,Label 8,27,0.000216,451.87,289.885,277.595,271.023,742.161,404.686,877.472,287.784,898.562,209.829,1026.61,259.066,1029.61,245.796
9,Label 9,27,0.000216,431.448,267.662,541.994,264.44,514.222,395.828,750.973,279.257,872.084,314.134,675.55,357.58,873.797,273.759
10,Label 10,27,0.000216,480.394,205.99,97.0978,309.962,449.949,371.683,855.546,353.474,851.454,138.475,871.458,292.519,812.698,375.744
11,Label 11,27,0.000216,357.57,240.479,161.287,294.291,627.147,327.513,681.104,457.719,833.746,322.808,755.985,315.444,1033.62,291.264
12,Label 12,27,0.000216,454.459,205.248,29.0249,317.378,535.228,302.298,567.009,339.743,586.763,331.723,856.59,336.194,601.004,284.551
13,Label 13,27,0.000216,297.934,257.264,308.416,311.684,477.888,370.01,793.78,352.964,607.519,297.533,710.255,283.387,920.028,321.827
14,Label 14,27,0.000216,150.93,444.426,423.179,362.886,180.623,222.878,259.971,430.691,514.764,353.785,577.032,278.092,430.446,293.257
15,Label 15,27,0.000216,92.2951,317.241,402.006,282.584,-55.7947,344.597,329.84,374.004,416.414,255.784,543.581,342.498,463.397,288.81
16,Label 16,27,0.000216,-20.0878,219.13,268.533,387.931,-68.9081,307.92,83.9426,308.747,497.141,279.259,55.5859,224.992,533.933,258.919
17,Label 17,27,0.000216,191.23,294.607,336.94,264.433,178.033,207.294,111.84,325.022,337.441,257.755,575.111,349.404,462.812,239.296
18,Label 18,27,0.000216,462.311,386.707,216.998,209.96,203.3,327.481,244.102,276.891,232.909,290.275,140.28,336.867,394.196,233.088
19,Label 19,27,0.000216,203.717,204.499,-201.462,227.992,86.9077,380.932,-276.008,374.727,213.782,258.794,411.569,253.847,122.74,356.298
20,Label 20,27,0.000216,229.735,232.56,214.534,297.279,513.052,266.35,398.331,364.501,152.558,257.179,387.389,276.155,325.622,325.253
21,Label 21,27,0.000216,338.234,298.249,48.2357,333.247,329.757,263.659,193.653,276.595,304.699,255.153,135.937,274.559,500.315,257.371
22,Label 22,27,0.000216,474.672,303.274,246.148,300.45,-40.5931,289.182,72.4997,340.781,155.607,243.153,132.638,256.023,232.283,367.372
23,Label 23,27,0.000216,406.85,317.545,245.939,292.332,188.892,303.172,61.3491,271.575,402.674,261.691,35.2893,285.952,93.0886,259.272
